panel	name	machine_readable_structure_present	simple_name_overlap_with_davis	eligibility_status
KIRHub2026	Abemaciclib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Abrocitinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Acalabrutinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Afatinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Alectinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Alpelisib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Apatinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Asciminib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Avapritinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Axitinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Barcitinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Binimetinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Bosutinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Brigatinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Cabozantinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Canertinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Capivasertib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Capmatinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Ceritinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Cobimetinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Crizotinib	false	true	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Dabrafenib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Dacomitinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Darovasertib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Dasatinib	false	true	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Defactinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Deucravacitinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Duvelisib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Encorafenib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Entrectinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Erdafitinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Erlotinib	false	true	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Everolimus	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Fedratinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Fostamatinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Futibatinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Gedatolisib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Gefitinib	false	true	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Gilteritinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Ibrutinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Idelalisib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Imatinib	false	true	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Inavolisib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
KIRHub2026	Infigratinib	false	false	BLOCKED_NO_MACHINE_READABLE_PARENT_STRUCTURE
