panel	compound_id	name	reported_smiles	reported_inchikey	computed_inchikey	structure_roundtrip_exact	single_covalent_component	exact_davis_parent_overlap	exact_davis_murcko_overlap	maximum_davis_morgan2_tanimoto	eligibility_status
OKL2026	HMSL10067	AZD-1152-HQPA	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1	QYZOGCMHVIGURT-UHFFFAOYSA-N	QYZOGCMHVIGURT-UHFFFAOYSA-N	true	true	true	true	1.00000000	EXCLUDED_DAVIS_LIGAND_LEAKAGE
OKL2026	HMSL12067	FALNIDAMOL	CN1CCC(Nc2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2)CC1	FTFRZXFNZVCRSK-UHFFFAOYSA-N	FTFRZXFNZVCRSK-UHFFFAOYSA-N	true	true	false	false	0.40740741	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10633	HARMINE	COc1ccc2c(c1)[nH]c1c(C)nccc12	BXNJHAXVSOCGBA-UHFFFAOYSA-N	BXNJHAXVSOCGBA-UHFFFAOYSA-N	true	true	false	false	0.33333333	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10661	PIM-447	C[C@@H]1C[C@H](N)C[C@H](c2ccncc2NC(=O)c2ccc(F)c(-c3c(F)cccc3F)n2)C1	VRQXRVAKPDCRCI-ZNMIVQPWSA-N	VRQXRVAKPDCRCI-ZNMIVQPWSA-N	true	true	false	false	0.26666667	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10101	MIRDAMETINIB	O=C(NOC[C@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F	SUDAHWBOROXANE-SECBINFHSA-N	SUDAHWBOROXANE-SECBINFHSA-N	true	true	false	false	0.56250000	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10167	SB-203580	C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1	CDMGBJANTYXAIV-UHFFFAOYSA-N	CDMGBJANTYXAIV-UHFFFAOYSA-N	true	true	false	false	0.17567568	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL11588	VATALANIB	Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1	YCOYDOIWSSHVCK-UHFFFAOYSA-N	YCOYDOIWSSHVCK-UHFFFAOYSA-N	true	true	true	true	1.00000000	EXCLUDED_DAVIS_LIGAND_LEAKAGE
OKL2026	HMSL10169	DORAMAPIMOD	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1	MVCOAUNKQVWQHZ-UHFFFAOYSA-N	MVCOAUNKQVWQHZ-UHFFFAOYSA-N	true	true	true	true	1.00000000	EXCLUDED_DAVIS_LIGAND_LEAKAGE
OKL2026	HMSL10048	CI-1040	O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl	GFMMXOIFOQCCGU-UHFFFAOYSA-N	GFMMXOIFOQCCGU-UHFFFAOYSA-N	true	true	true	true	1.00000000	EXCLUDED_DAVIS_LIGAND_LEAKAGE
OKL2026	HMSL10140	MOMELOTINIB	N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1	ZVHNDZWQTBEVRY-UHFFFAOYSA-N	ZVHNDZWQTBEVRY-UHFFFAOYSA-N	true	true	false	false	0.37931034	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10057	MK-2206	NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1	ULDXWLCXEDXJGE-UHFFFAOYSA-N	ULDXWLCXEDXJGE-UHFFFAOYSA-N	true	true	false	false	0.18390805	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10072	PF-00562271	CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O	MZDKLVOWGIOKTN-UHFFFAOYSA-N	MZDKLVOWGIOKTN-UHFFFAOYSA-N	true	true	false	false	0.25714286	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10439	PH-797804	CNC(=O)c1ccc(C)c(-n2c(C)cc(OCc3ccc(F)cc3F)c(Br)c2=O)c1	KCAJXIDMCNPGHZ-UHFFFAOYSA-N	KCAJXIDMCNPGHZ-UHFFFAOYSA-N	true	true	false	false	0.20000000	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL10402	LOSMAPIMOD	Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)(C)C)cn1	KKYABQBFGDZVNQ-UHFFFAOYSA-N	KKYABQBFGDZVNQ-UHFFFAOYSA-N	true	true	false	false	0.24489796	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
OKL2026	HMSL12085	PAMAPIMOD	Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC(CCO)CCO)nc21	JYYLVUFNAHSSFE-UHFFFAOYSA-N	JYYLVUFNAHSSFE-UHFFFAOYSA-N	true	true	false	false	0.29629630	ELIGIBLE_IDENTITY_PENDING_MANUAL_QA
