source_row	source_name	affinity_matrix_name	publication_doi	publication_structure_pdf_page	pubchem_cid	pubchem_inchikey	reviewer	review_method	decision	decision_reason	publication_connectivity_status	stereochemistry_status	salt_status	protomer_policy	model_parent_smiles	model_parent_inchikey	chembl_agreement	chembl_ids	independent_identity_evidence
2	A-674563	A-674563	10.1038/nbt.1990	10	11314340	BPNUQXPIQBZCMR-IBGZPJMESA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	source_not_drawn_external_absolute_registry_defined	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	Cc1[nH]nc2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12	BPNUQXPIQBZCMR-IBGZPJMESA-N	no_exact_synonym_record		https://pubchem.ncbi.nlm.nih.gov/compound/11314340;https://drugs.ncats.io/drug/3W2X0WGW6C
3	AB-1010	AB-1010	10.1038/nbt.1990	10	10074640	WJEOLQLKVOPQFV-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1	WJEOLQLKVOPQFV-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL1908391	https://pubchem.ncbi.nlm.nih.gov/compound/10074640;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1908391
4	ABT-869	ABT-869	10.1038/nbt.1990	10	11485656	MPVGZUGXCQEXTM-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1	MPVGZUGXCQEXTM-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL223360	https://pubchem.ncbi.nlm.nih.gov/compound/11485656;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL223360
5	AC220	AC220	10.1038/nbt.1990	10	24889392	CVWXJKQAOSCOAB-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1	CVWXJKQAOSCOAB-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL576982	https://pubchem.ncbi.nlm.nih.gov/compound/24889392;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL576982
6	AG-013736	AG-013736	10.1038/nbt.1990	10	6450551	RITAVMQDGBJQJZ-FMIVXFBMSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1	RITAVMQDGBJQJZ-FMIVXFBMSA-N	exact_stereo_parent	CHEMBL1289926	https://pubchem.ncbi.nlm.nih.gov/compound/6450551;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1289926
7	AMG-706	AMG-706	10.1038/nbt.1990	10	11667893	RAHBGWKEPAQNFF-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21	RAHBGWKEPAQNFF-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL572881	https://pubchem.ncbi.nlm.nih.gov/compound/11667893;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL572881
8	AST-487	AST-487	10.1038/nbt.1990	10	11409972	ODPGGGTTYSGTGO-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1	ODPGGGTTYSGTGO-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL574738	https://pubchem.ncbi.nlm.nih.gov/compound/11409972;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL574738
9	AT-7519	AT-7519	10.1038/nbt.1990	11	11338033	OVPNQJVDAFNBDN-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	O=C(NC1CCNCC1)c1[nH]ncc1NC(=O)c1c(Cl)cccc1Cl	OVPNQJVDAFNBDN-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL445813	https://pubchem.ncbi.nlm.nih.gov/compound/11338033;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL445813
10	AZD-1152HQPA	AZD-1152HQPA	10.1038/nbt.1990	11	16007391	QYZOGCMHVIGURT-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1	QYZOGCMHVIGURT-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL215152	https://pubchem.ncbi.nlm.nih.gov/compound/16007391;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL215152
11	AZD-2171	AZD-2171	10.1038/nbt.1990	11	9933475	XXJWYDDUDKYVKI-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1	XXJWYDDUDKYVKI-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL491473	https://pubchem.ncbi.nlm.nih.gov/compound/9933475;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL491473
