source_row	source_name	affinity_matrix_name	publication_doi	publication_structure_pdf_page	pubchem_cid	pubchem_inchikey	reviewer	review_method	decision	decision_reason	publication_connectivity_status	stereochemistry_status	salt_status	protomer_policy	model_parent_smiles	model_parent_inchikey	chembl_agreement	chembl_ids	independent_identity_evidence	qa_closure_status	qa_closure_basis	additional_external_manual_signoff_required	historical_secondary_qa_packet_disposition
2	A-674563	A-674563	10.1038/nbt.1990	10	11314340	BPNUQXPIQBZCMR-IBGZPJMESA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	source_not_drawn_external_absolute_registry_defined	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	Cc1[nH]nc2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12	BPNUQXPIQBZCMR-IBGZPJMESA-N	no_exact_synonym_record		https://pubchem.ncbi.nlm.nih.gov/compound/11314340;https://drugs.ncats.io/drug/3W2X0WGW6C	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
3	AB-1010	AB-1010	10.1038/nbt.1990	10	10074640	WJEOLQLKVOPQFV-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1	WJEOLQLKVOPQFV-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL1908391	https://pubchem.ncbi.nlm.nih.gov/compound/10074640;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1908391	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
4	ABT-869	ABT-869	10.1038/nbt.1990	10	11485656	MPVGZUGXCQEXTM-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1	MPVGZUGXCQEXTM-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL223360	https://pubchem.ncbi.nlm.nih.gov/compound/11485656;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL223360	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
5	AC220	AC220	10.1038/nbt.1990	10	24889392	CVWXJKQAOSCOAB-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1	CVWXJKQAOSCOAB-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL576982	https://pubchem.ncbi.nlm.nih.gov/compound/24889392;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL576982	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
6	AG-013736	AG-013736	10.1038/nbt.1990	10	6450551	RITAVMQDGBJQJZ-FMIVXFBMSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1	RITAVMQDGBJQJZ-FMIVXFBMSA-N	exact_stereo_parent	CHEMBL1289926	https://pubchem.ncbi.nlm.nih.gov/compound/6450551;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1289926	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
7	AMG-706	AMG-706	10.1038/nbt.1990	10	11667893	RAHBGWKEPAQNFF-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21	RAHBGWKEPAQNFF-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL572881	https://pubchem.ncbi.nlm.nih.gov/compound/11667893;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL572881	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
8	AST-487	AST-487	10.1038/nbt.1990	10	11409972	ODPGGGTTYSGTGO-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1	ODPGGGTTYSGTGO-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL574738	https://pubchem.ncbi.nlm.nih.gov/compound/11409972;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL574738	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
9	AT-7519	AT-7519	10.1038/nbt.1990	11	11338033	OVPNQJVDAFNBDN-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	O=C(NC1CCNCC1)c1[nH]ncc1NC(=O)c1c(Cl)cccc1Cl	OVPNQJVDAFNBDN-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL445813	https://pubchem.ncbi.nlm.nih.gov/compound/11338033;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL445813	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
10	AZD-1152HQPA	AZD-1152HQPA	10.1038/nbt.1990	11	16007391	QYZOGCMHVIGURT-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1	QYZOGCMHVIGURT-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL215152	https://pubchem.ncbi.nlm.nih.gov/compound/16007391;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL215152	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
11	AZD-2171	AZD-2171	10.1038/nbt.1990	11	9933475	XXJWYDDUDKYVKI-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1	XXJWYDDUDKYVKI-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL491473	https://pubchem.ncbi.nlm.nih.gov/compound/9933475;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL491473	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
12	AZD-6244/ARRY-886	AZD-6244/ARRY-886	10.1038/nbt.1990	11	10127622	CYOHGALHFOKKQC-UHFFFAOYSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21	CYOHGALHFOKKQC-UHFFFAOYSA-N	exact_stereo_parent	CHEMBL1614701	https://pubchem.ncbi.nlm.nih.gov/compound/10127622;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1614701	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
13	BI-2536	BI-2536	10.1038/nbt.1990	11	11364421	XQVVPGYIWAGRNI-JOCHJYFZSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1	XQVVPGYIWAGRNI-JOCHJYFZSA-N	exact_stereo_parent	CHEMBL513909	https://pubchem.ncbi.nlm.nih.gov/compound/11364421;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL513909	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
15	BIBW-2992	BIBW-2992	10.1038/nbt.1990	11	10184653	ULXXDDBFHOBEHA-CWDCEQMOSA-N	OpenAI Codex (committee verification required before label release)	manual side-by-side 2D connectivity/stereo review plus registry keys	ACCEPTED_PARENT	publication connectivity matches PubChem parent; stereochemistry disposition resolved	consistent	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1	ULXXDDBFHOBEHA-CWDCEQMOSA-N	exact_stereo_parent	CHEMBL1173655	https://pubchem.ncbi.nlm.nih.gov/compound/10184653;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1173655	FINAL_OWNER_AUTHORIZED	explicit_project_owner_instruction_2026-08-21	NO	SUPERSEDED_RETAINED_FOR_PROVENANCE
