source_row	source_name	affinity_matrix_name	source_name_matches_matrix	alternative_name	mapping_state	selected_query	pubchem_cid	pubchem_title	pubchem_inchikey	pubchem_smiles	review_status	reviewer	primary_identity_evidence	independent_identity_evidence	stereochemistry_status	notes
2	A-674563	A-674563	true		candidate_requires_manual_verification	A-674563	11314340	A-674563	BPNUQXPIQBZCMR-IBGZPJMESA-N	CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OC[C@H](CC4=CC=CC=C4)N	pending				pending	
3	AB-1010	AB-1010	true	Masitinib	candidate_requires_manual_verification	Masitinib	10074640	Masitinib	WJEOLQLKVOPQFV-UHFFFAOYSA-N	CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC(=CS4)C5=CN=CC=C5	pending				pending	
4	ABT-869	ABT-869	true	Linifanib	candidate_requires_manual_verification	Linifanib	11485656	Linifanib	MPVGZUGXCQEXTM-UHFFFAOYSA-N	CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N	pending				pending	
5	AC220	AC220	true	Quizartinib	candidate_requires_manual_verification	Quizartinib	24889392	Quizartinib	CVWXJKQAOSCOAB-UHFFFAOYSA-N	CC(C)(C)C1=CC(=NO1)NC(=O)NC2=CC=C(C=C2)C3=CN4C5=C(C=C(C=C5)OCCN6CCOCC6)SC4=N3	pending				pending	
6	AG-013736	AG-013736	true	Axitinib	candidate_requires_manual_verification	Axitinib	6450551	Axitinib	RITAVMQDGBJQJZ-FMIVXFBMSA-N	CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)/C=C/C4=CC=CC=N4	pending				pending	
7	AMG-706	AMG-706	true	Motesanib	candidate_requires_manual_verification	Motesanib	11667893	Motesanib	RAHBGWKEPAQNFF-UHFFFAOYSA-N	CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C	pending				pending	
8	AST-487	AST-487	true		candidate_requires_manual_verification	AST-487	11409972	Ast-487	ODPGGGTTYSGTGO-UHFFFAOYSA-N	CCN1CCN(CC1)CC2=C(C=C(C=C2)NC(=O)NC3=CC=C(C=C3)OC4=NC=NC(=C4)NC)C(F)(F)F	pending				pending	
9	AT-7519	AT-7519	true		candidate_requires_manual_verification	AT-7519	11338033	4-(2,6-dichlorobenzoylamino)-1H-pyrazole-3-carboxylic acid piperidin-4-ylamide	OVPNQJVDAFNBDN-UHFFFAOYSA-N	C1CNCCC1NC(=O)C2=C(C=NN2)NC(=O)C3=C(C=CC=C3Cl)Cl	pending				pending	
10	AZD-1152HQPA	AZD-1152HQPA	true		candidate_requires_manual_verification	AZD-1152HQPA	16007391	Defosbarasertib	QYZOGCMHVIGURT-UHFFFAOYSA-N	CCN(CCCOC1=CC2=C(C=C1)C(=NC=N2)NC3=NNC(=C3)CC(=O)NC4=CC(=CC=C4)F)CCO	pending				pending	
11	AZD-2171	AZD-2171	true	Cediranib	candidate_requires_manual_verification	Cediranib	9933475	Cediranib	XXJWYDDUDKYVKI-UHFFFAOYSA-N	CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5	pending				pending	
12	AZD-6244/ARRY-886	AZD-6244/ARRY-886	true	Selumetinib	candidate_requires_manual_verification	Selumetinib	10127622	Selumetinib	CYOHGALHFOKKQC-UHFFFAOYSA-N	CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO	pending				pending	
