qa_id	source_row	source_name	affinity_matrix_name	publication_doi	publication_structure_pdf_page	candidate_parent_smiles	candidate_parent_inchikey	pubchem_cid	chembl_ids	prior_stereochemistry_disposition	prior_salt_disposition	prior_protomer_policy	evidence_urls	automated_roundtrip_status	secondary_connectivity_decision	secondary_stereochemistry_decision	secondary_salt_parent_decision	secondary_protomer_decision	secondary_reviewer_name	secondary_review_date	secondary_notes
DQA-9CFC2DB5E276	2	A-674563	A-674563	10.1038/nbt.1990	10	Cc1[nH]nc2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12	BPNUQXPIQBZCMR-IBGZPJMESA-N	11314340		source_not_drawn_external_absolute_registry_defined	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/11314340;https://drugs.ncats.io/drug/3W2X0WGW6C	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-AC3BCAB72767	3	AB-1010	AB-1010	10.1038/nbt.1990	10	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1	WJEOLQLKVOPQFV-UHFFFAOYSA-N	10074640	CHEMBL1908391	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/10074640;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1908391	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-84DAAE4CF5CB	4	ABT-869	ABT-869	10.1038/nbt.1990	10	Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1	MPVGZUGXCQEXTM-UHFFFAOYSA-N	11485656	CHEMBL223360	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/11485656;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL223360	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-4A90D7691899	5	AC220	AC220	10.1038/nbt.1990	10	CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1	CVWXJKQAOSCOAB-UHFFFAOYSA-N	24889392	CHEMBL576982	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/24889392;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL576982	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-28DAAC6AB5D3	6	AG-013736	AG-013736	10.1038/nbt.1990	10	CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1	RITAVMQDGBJQJZ-FMIVXFBMSA-N	6450551	CHEMBL1289926	publication_drawn_matches_registry	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/6450551;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL1289926	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-920CC1FFF790	7	AMG-706	AMG-706	10.1038/nbt.1990	10	CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21	RAHBGWKEPAQNFF-UHFFFAOYSA-N	11667893	CHEMBL572881	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/11667893;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL572881	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-39FEC539A09B	8	AST-487	AST-487	10.1038/nbt.1990	10	CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1	ODPGGGTTYSGTGO-UHFFFAOYSA-N	11409972	CHEMBL574738	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/11409972;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL574738	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-327D7CAC3D21	9	AT-7519	AT-7519	10.1038/nbt.1990	11	O=C(NC1CCNCC1)c1[nH]ncc1NC(=O)c1c(Cl)cccc1Cl	OVPNQJVDAFNBDN-UHFFFAOYSA-N	11338033	CHEMBL445813	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/11338033;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL445813	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-03CF9DC3B169	10	AZD-1152HQPA	AZD-1152HQPA	10.1038/nbt.1990	11	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1	QYZOGCMHVIGURT-UHFFFAOYSA-N	16007391	CHEMBL215152	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/16007391;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL215152	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
DQA-57421373A491	11	AZD-2171	AZD-2171	10.1038/nbt.1990	11	COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1	XXJWYDDUDKYVKI-UHFFFAOYSA-N	9933475	CHEMBL491473	no_unresolved_stereogenic_element	single_covalent_component	registry_parent_as_drawn; no pH/protomer enumeration in primary	https://pubchem.ncbi.nlm.nih.gov/compound/9933475;https://www.ebi.ac.uk/chembl/explore/compound/CHEMBL491473	PASS	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	
