observation_id	construct_group_id	union_component_id	random_pair_fold	bemis_murcko_scaffold	maximum_cross_construct_ecfp_tanimoto	maximum_cross_construct_full_sequence_identity	maximum_cross_construct_site_sequence_identity
RCSB-4UGY-EXI-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	random-04	c1ccc(CCc2cccnc2)nc1	0.12345679012345678	0.23755656108597284	0.2631578947368421
RCSB-4UGR-6E5-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	random-03	N=C(Nc1cccc(COCC2CC(OCc3cccc(NC(=N)c4cccs4)c3)CN2)c1)c1cccs1	0.20689655172413793	0.23755656108597284	0.2631578947368421
RCSB-4UGA-Q05-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	random-01	c1ccc(CCNCc2cccc(OCc3ccccn3)c2)cc1	0.17647058823529413	0.23755656108597284	0.2631578947368421
RCSB-4UG5-XFK-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	random-04	c1ccc(CCc2cncc(CCc3ccncc3)c2)nc1	0.11666666666666667	0.23755656108597284	0.2631578947368421
RCSB-4UG6-XFJ-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	random-05	c1ccc(CCc2cncc(CCc3ccccn3)c2)nc1	0.13043478260869565	0.23755656108597284	0.2631578947368421
RCSB-4UG8-HW1-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	random-03	c1ccc(CCCCCOC2CNCC2Cc2ccccn2)nc1	0.13636363636363635	0.23755656108597284	0.2631578947368421
RCSB-4UGS-H36-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	random-02	N=C(Nc1cccc(OCCOc2cccc(NC(=N)c3cccs3)c2)c1)c1cccs1	0.1724137931034483	0.23755656108597284	0.2631578947368421
RCSB-4UGM-1QE-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	random-03	N=C(Nc1cccc(CCc2cccc(NC(=N)c3cccs3)c2)c1)c1cccs1	0.2647058823529412	0.23755656108597284	0.2631578947368421
RCSB-4UGI-SKO-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	random-04	c1ccc(CCc2ccccn2)nc1	0.17105263157894737	0.23755656108597284	0.2631578947368421
RCSB-4UG7-1EV-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	random-05	c1ccc(CCc2cccc(CCc3ccccn3)c2)nc1	0.18309859154929578	0.23755656108597284	0.2631578947368421
RCSB-4UGH-4V4-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	random-01	c1ccc(CCc2ccccn2)cc1	0.18181818181818182	0.23755656108597284	0.2631578947368421
RCSB-4UGL-S90-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	random-02	c1ccc(CCc2cccc(NC3CC3)c2)nc1	0.14444444444444443	0.23755656108597284	0.2631578947368421
RCSB-4UGD-Q14-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	random-02	c1ccc(COCCCOCc2ccccn2)nc1	0.1375	0.23755656108597284	0.2631578947368421
RCSB-4UGG-S5D-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	random-05	c1ccc(CCc2cccc(CCc3ccccn3)c2)nc1	0.17105263157894737	0.23755656108597284	0.2631578947368421
RCSB-4UG9-1EW-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	random-03	c1ccc(CCc2cccc(CCc3ccccn3)c2)nc1	0.18032786885245902	0.23755656108597284	0.2631578947368421
RCSB-4UGC-1Q6-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	random-01	c1ccc(COCCOCc2ccccn2)nc1	0.14102564102564102	0.23755656108597284	0.2631578947368421
RCSB-4UGO-1QF-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	random-02	N=C(Nc1ccc(CCNCc2cccc(NC(=N)c3cccs3)c2)cc1)c1cccs1	0.26582278481012656	0.23755656108597284	0.2631578947368421
RCSB-4UGB-QJ7-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	random-01	c1ccc(CCNCc2cncc(OCc3ccccn3)c2)cc1	0.16853932584269662	0.23755656108597284	0.2631578947368421
RCSB-4UGN-H49-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	random-04	N=C(Nc1cccc(CNCC2CCCN2)c1)c1cccs1	0.2222222222222222	0.23755656108597284	0.2631578947368421
RCSB-5MYG-LS8-KD	construct-002-cb5cf2af5e4a	union-ff2c39c882d3	random-05	O=c1ccc2cc(NS(=O)(=O)c3ccccc3)ccc2[nH]1	0.22580645161290322	0.29545454545454547	0.3333333333333333
