context	observation_id	construct_group_id	union_component_id	primary_fold	random_pair_fold
full	RCSB-4UGY-EXI-KD	construct-001-c5158f5b655d	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-4UGR-6E5-KD	construct-001-c5158f5b655d	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-4UGA-Q05-KD	construct-001-c5158f5b655d	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-4UG5-XFK-KD	construct-001-c5158f5b655d	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-4UG6-XFJ-KD	construct-001-c5158f5b655d	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-4UG8-HW1-KD	construct-001-c5158f5b655d	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-4UGS-H36-KD	construct-001-c5158f5b655d	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-4UGM-1QE-KD	construct-001-c5158f5b655d	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-4UGI-SKO-KD	construct-001-c5158f5b655d	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-4UG7-1EV-KD	construct-001-c5158f5b655d	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-4UGH-4V4-KD	construct-001-c5158f5b655d	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-4UGL-S90-KD	construct-001-c5158f5b655d	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-4UGD-Q14-KD	construct-001-c5158f5b655d	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-4UGG-S5D-KD	construct-001-c5158f5b655d	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-4UG9-1EW-KD	construct-001-c5158f5b655d	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-4UGC-1Q6-KD	construct-001-c5158f5b655d	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-4UGO-1QF-KD	construct-001-c5158f5b655d	union-9ad224f6353e	union-9ad224f6353e	random-02
full	RCSB-4UGB-QJ7-KD	construct-001-c5158f5b655d	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-4UGN-H49-KD	construct-001-c5158f5b655d	union-9ad224f6353e	union-9ad224f6353e	random-04
full	RCSB-5MYG-LS8-KD	construct-002-cb5cf2af5e4a	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-5EWH-5SG-KD	construct-002-cb5cf2af5e4a	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-5C85-4YO-KD	construct-002-cb5cf2af5e4a	union-9ad224f6353e	union-9ad224f6353e	random-01
full	RCSB-5O4S-9KW-KD	construct-002-cb5cf2af5e4a	union-9ad224f6353e	union-9ad224f6353e	random-05
full	RCSB-5EPR-5QY-KD	construct-002-cb5cf2af5e4a	union-9ad224f6353e	union-9ad224f6353e	random-03
full	RCSB-5OV8-AXN-KD	construct-002-cb5cf2af5e4a	union-9ad224f6353e	union-9ad224f6353e	random-04
