observation_id	construct_group_id	union_component_id	bemis_murcko_scaffold	maximum_cross_construct_ecfp_tanimoto	maximum_cross_construct_full_sequence_identity	maximum_cross_construct_site_sequence_identity	incident_relation_types
RCSB-4UGY-EXI-KD	construct-001-c5158f5b655d	union-9ad224f6353e	c1ccc(CCc2cccnc2)nc1	0.25333333333333335	0.37264150943396224	0.5714285714285714	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-4UGR-6E5-KD	construct-001-c5158f5b655d	union-9ad224f6353e	N=C(Nc1cccc(COCC2CC(OCc3cccc(NC(=N)c4cccs4)c3)CN2)c1)c1cccs1	0.24050632911392406	0.37264150943396224	0.5714285714285714	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-4UGA-Q05-KD	construct-001-c5158f5b655d	union-9ad224f6353e	c1ccc(CCNCc2cccc(OCc3ccccn3)c2)cc1	0.2987012987012987	0.37264150943396224	0.5714285714285714	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-4UG5-XFK-KD	construct-001-c5158f5b655d	union-9ad224f6353e	c1ccc(CCc2cncc(CCc3ccncc3)c2)nc1	0.2878787878787879	0.37264150943396224	0.5714285714285714	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-4UG6-XFJ-KD	construct-001-c5158f5b655d	union-9ad224f6353e	c1ccc(CCc2cncc(CCc3ccccn3)c2)nc1	0.31666666666666665	0.37264150943396224	0.5714285714285714	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-4UG8-HW1-KD	construct-001-c5158f5b655d	union-9ad224f6353e	c1ccc(CCCCCOC2CNCC2Cc2ccccn2)nc1	0.8235294117647058	0.37264150943396224	0.5714285714285714	exact_construct;exact_scaffold;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-4UGS-H36-KD	construct-001-c5158f5b655d	union-9ad224f6353e	N=C(Nc1cccc(OCCOc2cccc(NC(=N)c3cccs3)c2)c1)c1cccs1	0.22058823529411764	0.37264150943396224	0.5714285714285714	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-4UGM-1QE-KD	construct-001-c5158f5b655d	union-9ad224f6353e	N=C(Nc1cccc(CCc2cccc(NC(=N)c3cccs3)c2)c1)c1cccs1	0.2647058823529412	0.37264150943396224	0.5714285714285714	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-4UGI-SKO-KD	construct-001-c5158f5b655d	union-9ad224f6353e	c1ccc(CCc2ccccn2)nc1	0.2777777777777778	0.37264150943396224	0.5714285714285714	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-4UG7-1EV-KD	construct-001-c5158f5b655d	union-9ad224f6353e	c1ccc(CCc2cccc(CCc3ccccn3)c2)nc1	0.296875	0.37264150943396224	0.5714285714285714	exact_construct;exact_scaffold;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-4UGH-4V4-KD	construct-001-c5158f5b655d	union-9ad224f6353e	c1ccc(CCc2ccccn2)cc1	0.2702702702702703	0.37264150943396224	0.5714285714285714	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-4UGL-S90-KD	construct-001-c5158f5b655d	union-9ad224f6353e	c1ccc(CCc2cccc(NC3CC3)c2)nc1	0.2692307692307692	0.37264150943396224	0.5714285714285714	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-4UGD-Q14-KD	construct-001-c5158f5b655d	union-9ad224f6353e	c1ccc(COCCCOCc2ccccn2)nc1	0.29850746268656714	0.37264150943396224	0.5714285714285714	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-4UGG-S5D-KD	construct-001-c5158f5b655d	union-9ad224f6353e	c1ccc(CCc2cccc(CCc3ccccn3)c2)nc1	0.2898550724637681	0.37264150943396224	0.5714285714285714	exact_construct;exact_scaffold;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-4UG9-1EW-KD	construct-001-c5158f5b655d	union-9ad224f6353e	c1ccc(CCc2cccc(CCc3ccccn3)c2)nc1	0.31343283582089554	0.37264150943396224	0.5714285714285714	exact_construct;exact_scaffold;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-4UGC-1Q6-KD	construct-001-c5158f5b655d	union-9ad224f6353e	c1ccc(COCCOCc2ccccn2)nc1	0.2878787878787879	0.37264150943396224	0.5714285714285714	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-4UGO-1QF-KD	construct-001-c5158f5b655d	union-9ad224f6353e	N=C(Nc1ccc(CCNCc2cccc(NC(=N)c3cccs3)c2)cc1)c1cccs1	0.26582278481012656	0.37264150943396224	0.5714285714285714	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-4UGB-QJ7-KD	construct-001-c5158f5b655d	union-9ad224f6353e	c1ccc(CCNCc2cncc(OCc3ccccn3)c2)cc1	0.2839506172839506	0.37264150943396224	0.5714285714285714	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-4UGN-H49-KD	construct-001-c5158f5b655d	union-9ad224f6353e	N=C(Nc1cccc(CNCC2CCCN2)c1)c1cccs1	0.25675675675675674	0.37264150943396224	0.5714285714285714	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-5MYG-LS8-KD	construct-002-cb5cf2af5e4a	union-9ad224f6353e	O=c1ccc2cc(NS(=O)(=O)c3ccccc3)ccc2[nH]1	0.23376623376623376	0.36585365853658536	0.5333333333333333	exact_construct;full_sequence;local_site_sequence;shared_measurement_publication;validated_structural_similarity
RCSB-5EWH-5SG-KD	construct-002-cb5cf2af5e4a	union-9ad224f6353e	c1ccc2cnccc2c1	0.5384615384615384	0.36585365853658536	0.5333333333333333	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-5C85-4YO-KD	construct-002-cb5cf2af5e4a	union-9ad224f6353e	O=C1CNc2ccccc2N1	0.24528301886792453	0.36585365853658536	0.5333333333333333	exact_construct;exact_scaffold;full_sequence;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-5O4S-9KW-KD	construct-002-cb5cf2af5e4a	union-9ad224f6353e	O=c1[nH]c2cc(NS(=O)(=O)c3ccc4c(c3)CCCC4)c(N3CCOCC3)cc2[nH]c1=O	0.24096385542168675	0.36585365853658536	0.5333333333333333	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-5EPR-5QY-KD	construct-002-cb5cf2af5e4a	union-9ad224f6353e	O=C1CNc2ccccc2N1	0.22727272727272727	0.36585365853658536	0.5333333333333333	exact_construct;exact_scaffold;full_sequence;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-5OV8-AXN-KD	construct-002-cb5cf2af5e4a	union-9ad224f6353e	O=c1[nH]c2cc(NS(=O)(=O)c3ccccc3)c(N3CCCC3)cc2[nH]c1=O	0.2549019607843137	0.36585365853658536	0.5333333333333333	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-5O55-9L5-KD	construct-002-cb5cf2af5e4a	union-9ad224f6353e	O=C(NCc1cn[nH]c1)c1ccc2[nH]c(=O)cnc2c1	0.24285714285714285	0.36585365853658536	0.5333333333333333	exact_construct;full_sequence;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-5D7X-XZ8-KD	construct-002-cb5cf2af5e4a	union-9ad224f6353e	O=c1[nH][nH]cc1-c1c[nH]c2ccccc12	0.4	0.36585365853658536	0.5333333333333333	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-5O5A-9LN-KD	construct-002-cb5cf2af5e4a	union-9ad224f6353e	O=C(NCc1cnn(-c2ccccc2)c1)c1ccc2[nH]c(=O)c(=O)[nH]c2c1	0.2716049382716049	0.36585365853658536	0.5333333333333333	exact_construct;full_sequence;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-5EPS-5QX-KD	construct-002-cb5cf2af5e4a	union-9ad224f6353e	O=C1CNc2ccccc2N1	0.25	0.36585365853658536	0.5333333333333333	exact_construct;exact_scaffold;full_sequence;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-4O76-1M3-KD	construct-003-fbf3f5c695a3	union-9ad224f6353e	c1ccc(Nc2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)cc1	0.4367816091954023	0.6692913385826772	0.6190476190476191	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-7MRA-ZMJ-KD	construct-003-fbf3f5c695a3	union-9ad224f6353e	O=c1[nH]cc(-c2ccccc2)c2ccccc12	0.4727272727272727	0.6692913385826772	0.6190476190476191	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-5D26-L28-KD	construct-003-fbf3f5c695a3	union-9ad224f6353e	O=C(Nc1ccccc1)c1ccc[nH]1	0.22058823529411764	0.6692913385826772	0.6190476190476191	exact_construct;exact_scaffold;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-5EGU-5NQ-KD	construct-003-fbf3f5c695a3	union-9ad224f6353e	O=c1[nH]c(=O)c2[nH]c(CSc3nc4ncccn4n3)nc2[nH]1	0.18085106382978725	0.6692913385826772	0.6190476190476191	exact_construct;full_sequence;local_site_sequence;shared_measurement_publication;shared_structure_publication;validated_structural_similarity
RCSB-6TPZ-NV2-KD	construct-003-fbf3f5c695a3	union-9ad224f6353e	O=c1ccc(-c2nc3cc(N4CCOCC4)ccc3[nH]2)c[nH]1	0.30303030303030304	0.6692913385826772	0.6190476190476191	exact_construct;full_sequence;local_site_sequence;validated_structural_similarity
RCSB-6FO5-DZH-KD	construct-003-fbf3f5c695a3	union-9ad224f6353e	O=C1CCCc2cc(S(=O)(=O)NCc3ccc(Cn4c(=O)[nH]c(=O)c5[nH]cnc54)cc3)ccc2N1	0.23655913978494625	0.6692913385826772	0.6190476190476191	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;validated_structural_similarity
