series_id	prestructure_component_id	component_series_count	retained_ligand_count	retained_nonempty_scaffold_count	retained_pKd_range	target_names	publication_id	pdb_id	alignment_identity	resolution_angstrom
G3S-0ea60d28ec9de0d1	G3C-001	38	30	17	3.21146035	Carbonic anhydrase 2	doi:10.1016/j.bmc.2013.01.008	5LLH	1	1.9
G3S-133873650167b89b	G3C-001	38	52	25	1.91994346	Ubiquitin carboxyl-terminal hydrolase 5	pmid:34648286	7MS6	1	1.55
G3S-197e79eddc015708	G3C-001	38	18	7	2.71745341	Albumin	doi:10.1021/acs.jmedchem.1c01791	2BXG	1	2.7
G3S-202cfb8f48e8667e	G3C-001	38	13	4	3.80843605	Son of sevenless homolog 1	doi:10.1021/acs.jmedchem.0c01949	7AVU	1	2.1
G3S-202ee41d5bfc94ab	G3C-001	38	10	9	2.84009487	Albumin	doi:10.1021/jm7012826	4Z69	1	2.187
G3S-237de531113c65a9	G3C-001	38	11	8	1.40201588	Albumin	doi:10.1016/j.bmcl.2015.05.099	3B9L	1	2.6
G3S-2a143dedddd90694	G3C-001	38	13	7	1.56987531	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	doi:10.1016/j.bmc.2014.02.022	4M5I	1	1.08
G3S-2b9565c8dc248e0b	G3C-001	38	70	9	3.38886035	WD repeat-containing protein 5	doi:10.1021/acs.jmedchem.9b01411	6U5Y	1	1.532
G3S-3aac8f4c8810a918	G3C-001	38	47	6	2.58357659	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	doi:10.1021/acs.jmedchem.6b00002	5ETT	0.993670886	1.55
G3S-43586287a9be2906	G3C-001	38	9	6	1.1903317	Tyrosine-protein phosphatase non-receptor type 1 [1-298]	doi:10.1021/jm0205696	1NO6	1	2.4
G3S-449b0375368ffc0f	G3C-001	38	19	10	4.79934055	Choline kinase alpha	doi:10.1021/acs.jmedchem.5b01552	5EQP	0.98714653	2.35
