series_id	prestructure_component_id	component_series_count	retained_ligand_count	retained_nonempty_scaffold_count	retained_pKd_range	target_names	publication_id	pdb_id	alignment_identity	resolution_angstrom	selected	selection_rank	candidate_graph_degree
G3S-ff4e5bfc253b96ea	G3C-001	211	86	37	5.3399317	Sex hormone-binding globulin	doi:10.1021/jm7011485	1F5F	1	1.7	true	1	0
G3S-7258bf496c1f8d25	G3C-001	211	33	22	4.50664997	Poly [ADP-ribose] polymerase 2	doi:10.1021/acs.jmedchem.5b00680	4ZZY	1	2.2	true	2	0
G3S-cf9073a054dd1e8c	G3C-001	211	31	23	4.31386722	Nuclear receptor ROR-gamma	doi:10.1016/j.bmcl.2019.04.021	6NAD	1	2.90197077	true	3	2
G3S-da8fc773cdc768de	G3C-001	211	20	10	3.30103	Gamma-aminobutyric acid receptor subunit alpha-1	doi:10.1021/jm701433b	6HUP	1	3.58	true	4	0
G3S-1f6e9ae98fcbd583	G3C-004	1	22	22	4.1383027	Caspase-6	doi:10.1021/acs.jmedchem.3c00590	4NBL	0.996296296	1.756	true	5	0
G3S-0d6ea790d633fb5e	G3C-001	211	32	19	4.15842417	Kelch-like ECH-associated protein 1	doi:10.1021/acs.jmedchem.1c01975	7Q6Q	0.993079585	2.55	true	6	2
G3S-441b618a57261680	G3C-005	1	21	19	2.72153583	Nitric oxide synthase oxygenase	doi:10.1021/acs.biochem.5b00431	4UG7	0.991735537	1.76	true	7	0
G3S-82d2cb1cb942342d	G3C-001	211	37	10	2.48012676	Heat shock protein HSP 90-alpha	doi:10.1021/acs.jmedchem.6b00085	5VYY	1	1.792	true	8	0
G3S-0c2b41bb223d8483	G3C-001	211	31	16	2.06694679	Son of sevenless homolog 1	doi:10.1021/acs.jmedchem.8b01108	6D55	1	1.68	true	9	0
G3S-014e4407ee50fa22	G3C-001	211	36	8	4.56507643	Endothelial PAS domain-containing protein 1	doi:10.1021/acs.jmedchem.3c00332	8CK4	0.991071429	2.29	true	10	0
G3S-8468ef8a559bdade	G3C-001	211	42	5	2.74472749	Carbonic anhydrase 12	doi:10.3109/14756366.2012.757223	5LL5	1	1.42	true	11	0
G3S-c1bf0bf4ec7b8cf8	G3C-001	211	19	11	5.54406804	Non-receptor tyrosine-protein kinase TYK2	pmid:37427891	8S98	1	1.87	true	12	6
G3S-e36179cfc1b7610c	G3C-013	1	19	12	1.84677162	Tyrosine-protein phosphatase non-receptor type 11	pmid:39110625	8WX7	1	2.02	true	13	1
G3S-7441d96b81b94068	G3C-008	1	18	8	3.95424251	Transcription activator BRG1	doi:10.1021/acs.jmedchem.3c01149	7TAB	1	1.16	true	14	3
G3S-3c840aaf07c196c4	G3C-001	211	17	12	5.88169184	Fibroblast growth factor 1	doi:10.1021/jm030447t	1RML	1	nan	true	15	0
G3S-7b63d80d43bd8871	G3C-001	211	16	9	2	UDP-3-O-acyl-N-acetylglucosamine deacetylase	doi:10.1021/acs.jmedchem.8b01287	6MAE	1	1.8	true	16	0
G3S-61544361ce31eac2	G3C-001	211	15	14	1.77815125	Sterol 14-alpha demethylase	doi:10.1016/j.chembiol.2007.10.011	2WX2	1	2.27	true	17	0
G3S-e9de90d69aed4dc3	G3C-001	211	15	6	2.67778071	Beta-secretase 1	doi:10.1021/jm200544q	3RU1	0.99513382	2.3	true	18	1
G3S-532f119ff68b2182	G3C-006	1	13	8	2.04575749	S-methyl-5'-thioadenosine phosphorylase	doi:10.1021/acs.jmedchem.8b01642	6DYZ	1	1.62	true	19	0
