series_id	prestructure_component_id	component_series_count	retained_ligand_count	retained_nonempty_scaffold_count	retained_pKd_range	scaffold_cluster_count	eligible_scaffold_cluster_count	target_names	publication_id	pdb_id	alignment_identity	resolution_angstrom	selected	selection_rank	candidate_graph_degree
G3S-ff4e5bfc253b96ea	G3C-001	211	86	37	5.3399317	11	5	Sex hormone-binding globulin	doi:10.1021/jm7011485	1F5F	1	1.7	true	1	0
G3S-da8fc773cdc768de	G3C-001	211	20	10	3.30103	5	4	Gamma-aminobutyric acid receptor subunit alpha-1	doi:10.1021/jm701433b	6HUP	1	3.58	true	2	0
G3S-237de531113c65a9	G3C-001	211	11	8	1.40201588	4	3	Albumin	doi:10.1016/j.bmcl.2015.05.099	3B9M	1	2.7	true	3	0
G3S-441b618a57261680	G3C-005	1	21	19	2.72153583	2	2	Nitric oxide synthase oxygenase	doi:10.1021/acs.biochem.5b00431	4UG7	0.991735537	1.76	true	4	0
G3S-de0a2a7c1887af78	G3C-001	211	14	14	1.25527251	4	2	Peregrin	doi:10.1016/j.ejmech.2018.05.037	5MWH	1	1.65	true	5	3
G3S-c6c69878bad91dca	G3C-001	211	18	18	4.71284146	16	1	Serine/threonine-protein kinase B-raf	doi:10.1038/nbt.1990	1UWH	0.996376812	2.95	true	6	6
G3S-a0eeacac2c679281	G3C-001	211	12	9	2.62838893	2	1	PA-I galactophilic lectin	doi:10.1016/j.ejmech.2022.115025	7Z63	1	1.75	true	7	0
G3S-3bfb2092ea669ef8	G3C-001	211	12	9	1.71688159	2	1	Histone-lysine N-methyltransferase NSD2	doi:10.1021/acs.jmedchem.0c01768	6UE6	1	2.4	true	8	0
G3S-3021d6a688e870ed	G3C-001	211	11	8	4.34985778	10	1	Gag-Pol polyprotein [489-587]	doi:10.1021/jm0105833	1HVI	0.98989899	1.8	true	9	1
G3S-95eff58067253a12	G3C-010	1	9	6	2.86530143	2	1	Glucokinase regulatory protein	doi:10.1021/acs.jmedchem.5b01367	4PX3	1	2.43	true	10	0
G3S-1d6a948c781cf9b6	G3C-001	211	9	6	2.86530143	3	1	Pantothenate synthetase	doi:10.1021/jm101121s	3LE8	0.993333333	1.7	true	11	0
G3S-7258bf496c1f8d25	G3C-001	211	33	22	4.50664997	3	0	Poly [ADP-ribose] polymerase 2	doi:10.1021/acs.jmedchem.5b00680	4ZZY	1	2.2	true	12	0
G3S-cf9073a054dd1e8c	G3C-001	211	31	23	4.31386722	1	0	Nuclear receptor ROR-gamma	doi:10.1016/j.bmcl.2019.04.021	6NAD	1	2.90197077	true	13	2
G3S-1f6e9ae98fcbd583	G3C-004	1	22	22	4.1383027	1	0	Caspase-6	doi:10.1021/acs.jmedchem.3c00590	4NBL	0.996296296	1.756	true	14	0
G3S-0d6ea790d633fb5e	G3C-001	211	32	19	4.15842417	1	0	Kelch-like ECH-associated protein 1	doi:10.1021/acs.jmedchem.1c01975	7Q6Q	0.993079585	2.55	true	15	2
G3S-82d2cb1cb942342d	G3C-001	211	37	10	2.48012676	1	0	Heat shock protein HSP 90-alpha	doi:10.1021/acs.jmedchem.6b00085	5VYY	1	1.792	true	16	0
G3S-0c2b41bb223d8483	G3C-001	211	31	16	2.06694679	1	0	Son of sevenless homolog 1	doi:10.1021/acs.jmedchem.8b01108	6D55	1	1.68	true	17	0
G3S-014e4407ee50fa22	G3C-001	211	36	8	4.56507643	1	0	Endothelial PAS domain-containing protein 1	doi:10.1021/acs.jmedchem.3c00332	8CK4	0.991071429	2.29	true	18	0
G3S-8468ef8a559bdade	G3C-001	211	42	5	2.74472749	3	0	Carbonic anhydrase 12	doi:10.3109/14756366.2012.757223	5LL5	1	1.42	true	19	0
G3S-e36179cfc1b7610c	G3C-013	1	19	12	1.84677162	1	0	Tyrosine-protein phosphatase non-receptor type 11	pmid:39110625	8WX7	1	2.02	true	20	1
G3S-3c840aaf07c196c4	G3C-001	211	17	12	5.88169184	3	0	Fibroblast growth factor 1	doi:10.1021/jm030447t	1RML	1	nan	true	21	0
G3S-7b63d80d43bd8871	G3C-001	211	16	9	2	2	0	UDP-3-O-acyl-N-acetylglucosamine deacetylase	doi:10.1021/acs.jmedchem.8b01287	6MAE	1	1.8	true	22	0
G3S-61544361ce31eac2	G3C-001	211	15	14	1.77815125	2	0	Sterol 14-alpha demethylase	doi:10.1016/j.chembiol.2007.10.011	2WX2	1	2.27	true	23	0
G3S-532f119ff68b2182	G3C-006	1	13	8	2.04575749	1	0	S-methyl-5'-thioadenosine phosphorylase	doi:10.1021/acs.jmedchem.8b01642	6DYZ	1	1.62	true	24	0
G3S-2a143dedddd90694	G3C-001	211	13	7	1.56987531	3	0	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	doi:10.1016/j.bmc.2014.02.022	4M5I	1	1.08	true	25	0
G3S-5fea584126042c2e	G3C-007	1	11	3	4.46922412	1	0	Programmed cell death 1 ligand 1	pmid:35429911	5J89	1	2.2	true	26	0
G3S-03ecbf7361b64421	G3C-001	211	10	10	2.01360318	3	0	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta	doi:10.1021/acs.jmedchem.7b01243	5X74	0.993333333	2.25	true	27	0
