observation_id	series_id	component_id	scaffold_cluster_id	scaffold_cluster_size	scaffold_fold_eligible
G3S-014e4407ee50fa22-L0001	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0002	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0003	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0004	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0005	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0006	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0007	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0008	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0009	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0010	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0011	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0012	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0013	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0014	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0015	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0016	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0017	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0018	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0019	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0020	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0021	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0022	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0023	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0024	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0025	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0026	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0027	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0028	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0029	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0030	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0032	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0033	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0034	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0035	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0036	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-014e4407ee50fa22-L0037	G3S-014e4407ee50fa22	G3-FINAL-001	G3S-014e4407ee50fa22-SC-001	36	false
G3S-03ecbf7361b64421-L0001	G3S-03ecbf7361b64421	G3-FINAL-002	G3S-03ecbf7361b64421-SC-001	8	false
G3S-03ecbf7361b64421-L0002	G3S-03ecbf7361b64421	G3-FINAL-002	G3S-03ecbf7361b64421-SC-001	8	false
G3S-03ecbf7361b64421-L0003	G3S-03ecbf7361b64421	G3-FINAL-002	G3S-03ecbf7361b64421-SC-002	1	false
G3S-03ecbf7361b64421-L0004	G3S-03ecbf7361b64421	G3-FINAL-002	G3S-03ecbf7361b64421-SC-003	1	false
G3S-03ecbf7361b64421-L0005	G3S-03ecbf7361b64421	G3-FINAL-002	G3S-03ecbf7361b64421-SC-001	8	false
G3S-03ecbf7361b64421-L0006	G3S-03ecbf7361b64421	G3-FINAL-002	G3S-03ecbf7361b64421-SC-001	8	false
G3S-03ecbf7361b64421-L0007	G3S-03ecbf7361b64421	G3-FINAL-002	G3S-03ecbf7361b64421-SC-001	8	false
G3S-03ecbf7361b64421-L0008	G3S-03ecbf7361b64421	G3-FINAL-002	G3S-03ecbf7361b64421-SC-001	8	false
G3S-03ecbf7361b64421-L0009	G3S-03ecbf7361b64421	G3-FINAL-002	G3S-03ecbf7361b64421-SC-001	8	false
G3S-03ecbf7361b64421-L0010	G3S-03ecbf7361b64421	G3-FINAL-002	G3S-03ecbf7361b64421-SC-001	8	false
G3S-0adfbd2895adde2d-L0001	G3S-0adfbd2895adde2d	G3-FINAL-003	G3S-0adfbd2895adde2d-SC-001	9	false
G3S-0adfbd2895adde2d-L0002	G3S-0adfbd2895adde2d	G3-FINAL-003	G3S-0adfbd2895adde2d-SC-001	9	false
G3S-0adfbd2895adde2d-L0003	G3S-0adfbd2895adde2d	G3-FINAL-003	G3S-0adfbd2895adde2d-SC-001	9	false
G3S-0adfbd2895adde2d-L0004	G3S-0adfbd2895adde2d	G3-FINAL-003	G3S-0adfbd2895adde2d-SC-001	9	false
G3S-0adfbd2895adde2d-L0005	G3S-0adfbd2895adde2d	G3-FINAL-003	G3S-0adfbd2895adde2d-SC-001	9	false
G3S-0adfbd2895adde2d-L0006	G3S-0adfbd2895adde2d	G3-FINAL-003	G3S-0adfbd2895adde2d-SC-001	9	false
G3S-0adfbd2895adde2d-L0007	G3S-0adfbd2895adde2d	G3-FINAL-003	G3S-0adfbd2895adde2d-SC-001	9	false
G3S-0adfbd2895adde2d-L0008	G3S-0adfbd2895adde2d	G3-FINAL-003	G3S-0adfbd2895adde2d-SC-001	9	false
G3S-0adfbd2895adde2d-L0009	G3S-0adfbd2895adde2d	G3-FINAL-003	G3S-0adfbd2895adde2d-SC-001	9	false
G3S-0c2b41bb223d8483-L0001	G3S-0c2b41bb223d8483	G3-FINAL-004	G3S-0c2b41bb223d8483-SC-001	31	false
