series_id	prestructure_component_id	component_series_count	retained_ligand_count	retained_nonempty_scaffold_count	retained_pKd_range	scaffold_cluster_count	eligible_scaffold_cluster_count	target_names	publication_id	pdb_id	alignment_identity	resolution_angstrom	selected	selection_rank	candidate_graph_degree
G3S-ff4e5bfc253b96ea	G3C-001	211	86	37	5.3399317	11	5	Sex hormone-binding globulin	doi:10.1021/jm7011485	1F5F	1	1.7	true	1	44
G3S-da8fc773cdc768de	G3C-001	211	20	10	3.30103	5	4	Gamma-aminobutyric acid receptor subunit alpha-1	doi:10.1021/jm701433b	6HUP	1	3.58	true	2	8
G3S-237de531113c65a9	G3C-001	211	11	8	1.40201588	4	3	Albumin	doi:10.1016/j.bmcl.2015.05.099	3B9M	1	2.7	true	3	3
G3S-441b618a57261680	G3C-005	1	21	19	2.72153583	2	2	Nitric oxide synthase oxygenase	doi:10.1021/acs.biochem.5b00431	4UG7	0.991735537	1.76	true	4	0
G3S-de0a2a7c1887af78	G3C-001	211	14	14	1.25527251	4	2	Peregrin	doi:10.1016/j.ejmech.2018.05.037	5MWH	1	1.65	true	5	3
G3S-c6c69878bad91dca	G3C-001	211	18	18	4.71284146	16	1	Serine/threonine-protein kinase B-raf	doi:10.1038/nbt.1990	1UWH	0.996376812	2.95	true	6	53
G3S-a0eeacac2c679281	G3C-001	211	12	9	2.62838893	2	1	PA-I galactophilic lectin	doi:10.1016/j.ejmech.2022.115025	7Z63	1	1.75	true	7	6
G3S-3bfb2092ea669ef8	G3C-001	211	12	9	1.71688159	2	1	Histone-lysine N-methyltransferase NSD2	doi:10.1021/acs.jmedchem.0c01768	6UE6	1	2.4	true	8	2
G3S-3021d6a688e870ed	G3C-001	211	11	8	4.34985778	10	1	Gag-Pol polyprotein [489-587]	doi:10.1021/jm0105833	1HVI	0.98989899	1.8	true	9	3
G3S-95eff58067253a12	G3C-010	1	9	6	2.86530143	2	1	Glucokinase regulatory protein	doi:10.1021/acs.jmedchem.5b01367	4PX3	1	2.43	true	10	0
G3S-1d6a948c781cf9b6	G3C-001	211	9	6	2.86530143	3	1	Pantothenate synthetase	doi:10.1021/jm101121s	3LE8	0.993333333	1.7	true	11	18
G3S-7258bf496c1f8d25	G3C-001	211	33	22	4.50664997	3	0	Poly [ADP-ribose] polymerase 2	doi:10.1021/acs.jmedchem.5b00680	4ZZY	1	2.2	true	12	4
G3S-cf9073a054dd1e8c	G3C-001	211	31	23	4.31386722	1	0	Nuclear receptor ROR-gamma	doi:10.1016/j.bmcl.2019.04.021	6NAD	1	2.90197077	true	13	1
