entity_type	entity_id	display_name	component_id	component_size	family_or_scaffold	edge_policy
ligand	BPNUQXPIQBZCMR-IBGZPJMESA-N	A-674563	LSC007	1	c1ccc(CCCOc2cncc(-c3ccc4n[nH]cc4c3)c2)cc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	WJEOLQLKVOPQFV-UHFFFAOYSA-N	AB-1010	LSC026	2	O=C(Nc1cccc(Nc2nc(-c3cccnc3)cs2)c1)c1ccc(CN2CCNCC2)cc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	MPVGZUGXCQEXTM-UHFFFAOYSA-N	ABT-869	LSC030	1	O=C(Nc1ccccc1)Nc1ccc(-c2cccc3[nH]ncc23)cc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	CVWXJKQAOSCOAB-UHFFFAOYSA-N	AC220	LSC010	1	O=C(Nc1ccc(-c2cn3c(n2)sc2cc(OCCN4CCOCC4)ccc23)cc1)Nc1ccon1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	RITAVMQDGBJQJZ-FMIVXFBMSA-N	AG-013736	LSC044	1	C(=C/c1n[nH]c2cc(Sc3ccccc3)ccc12)\c1ccccn1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	RAHBGWKEPAQNFF-UHFFFAOYSA-N	AMG-706	LSC043	1	O=C(Nc1ccc2c(c1)NCC2)c1cccnc1NCc1ccncc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	ODPGGGTTYSGTGO-UHFFFAOYSA-N	AST-487	LSC034	1	O=C(Nc1ccc(CN2CCNCC2)cc1)Nc1ccc(Oc2ccncn2)cc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	OVPNQJVDAFNBDN-UHFFFAOYSA-N	AT-7519	LSC037	1	O=C(Nc1cn[nH]c1C(=O)NC1CCNCC1)c1ccccc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	QYZOGCMHVIGURT-UHFFFAOYSA-N	AZD-1152HQPA	LSC042	1	O=C(Cc1cc(Nc2ncnc3ccccc23)n[nH]1)Nc1ccccc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	XXJWYDDUDKYVKI-UHFFFAOYSA-N	AZD-2171	LSC058	1	c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	CYOHGALHFOKKQC-UHFFFAOYSA-N	AZD-6244/ARRY-886	LSC012	1	c1ccc(Nc2ccc3[nH]cnc3c2)cc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	XQVVPGYIWAGRNI-JOCHJYFZSA-N	BI-2536	LSC057	1	O=C1CN(C2CCCC2)c2nc(Nc3ccc(C(=O)NC4CCNCC4)cc3)ncc2N1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	ULXXDDBFHOBEHA-CWDCEQMOSA-N	BIBW-2992	LSC051	1	c1ccc(Nc2ncnc3cc(O[C@H]4CCOC4)ccc23)cc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	MVCOAUNKQVWQHZ-UHFFFAOYSA-N	BIRB-796	LSC031	1	O=C(Nc1ccc(OCCN2CCOCC2)c2ccccc12)Nc1ccnn1-c1ccccc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	PSPFQEBFYXJZEV-UHFFFAOYSA-N	BMS-345541	LSC040	1	c1ccc2c(c1)ncc1nccn12	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	OUSFTKFNBAZUKL-UHFFFAOYSA-N	BMS-387032/SNS-032	LSC036	1	O=C(Nc1ncc(SCc2ncco2)s1)C1CCNCC1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	WCWUXEGQKLTGDX-LLVKDONJSA-N	BMS-540215	LSC055	1	c1cc2c(Oc3ccc4[nH]ccc4c3)ncnn2c1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	UIARLYUEJFELEN-LROUJFHJSA-N	CEP-701	LSC048	1	O=C1NCc2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1CC[C@H]3O1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	PIQCTGMSNWUMAF-UHFFFAOYSA-N	CHIR-258/TKI-258	LSC039	1	O=c1[nH]c2ccccc2cc1-c1nc2ccc(N3CCNCC3)cc2[nH]1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	YABJJWZLRMPFSI-UHFFFAOYSA-N	CHIR-265/RAF-265	LSC059	1	c1ccc(Nc2nc3cc(Oc4ccnc(-c5ncc[nH]5)c4)ccc3[nH]2)cc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	OMZCMEYTWSXEPZ-UHFFFAOYSA-N	CI-1033	LSC035	2	c1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)ccc23)cc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	GFMMXOIFOQCCGU-UHFFFAOYSA-N	CI-1040	LSC016	1	O=C(NOCC1CC1)c1ccccc1Nc1ccccc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	UJLAWZDWDVHWOW-YPMHNXCESA-N	CP-690550	LSC050	1	c1nc(N[C@@H]2CCCNC2)c2cc[nH]c2n1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	KTEIFNKAUNYNJU-GFCCVEGCSA-N	Crizotinib	LSC025	1	c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	ZBNZXTGUTAYRHI-UHFFFAOYSA-N	Dasatinib	LSC063	1	O=C(Nc1ccccc1)c1cnc(Nc2cc(N3CCNCC3)ncn2)s1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	AAKJLRGGTJKAMG-UHFFFAOYSA-N	Erlotinib	LSC001	1	c1ccc(Nc2ncnc3ccccc23)cc1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
ligand	CXQHYVUVSFXTMY-UHFFFAOYSA-N	EXEL-2880/GSK-1363089	LSC011	1	O=C(Nc1ccccc1)C1(C(=O)Nc2ccc(Oc3ccnc4cc(OCCCN5CCOCC5)ccc34)cc2)CC1	Murcko equality OR Morgan2 Tanimoto >=0.60; transitive closure
