estimand_id	gene_symbol	uniprot_accession	component_id	component_size	coordinate_status	edge_policy
UniProt:O00238:204-494|KLIFS:520:positions1-85	BMPR1B	O00238	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O00444:12-265|KLIFS:314:positions1-85	PLK4	O00444	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O00506:20-270|KLIFS:381:positions1-85	STK25	O00506	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O14578:97-360|KLIFS:4:positions1-85	CIT	O14578	PTC001	323	BLOCKED_MAPPING	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O14733:120-380|KLIFS:389:positions1-85	MAP2K7	O14733	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O14757:9-265|KLIFS:121:positions1-85	CHEK1	O14757	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O14920:15-300|KLIFS:270:positions1-85	IKBKB	O14920	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O14936:12-276|KLIFS:139:positions1-85	CASK	O14936	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O14965:133-383|KLIFS:259:positions1-85	AURKA	O14965	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O14976:40-314|KLIFS:279:positions1-85	GAK	O14976	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O15075:390-647|KLIFS:145:positions1-85	DCLK1	O15075	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O15111:15-302|KLIFS:269:positions1-85	CHUK	O15111	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O15146:575-856|KLIFS:448:positions1-85	MUSK	O15146	PTC002	1	BLOCKED_MAPPING	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O15197:670-919|KLIFS:421:positions1-85	EPHB6	O15197	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O15264:25-308|KLIFS:251:positions1-85	MAPK13	O15264	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O15530:82-342|KLIFS:27:positions1-85	PDPK1	O15530	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O43283:168-409|KLIFS:499:positions1-85	MAP3K13	O43283	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O43293:13-275|KLIFS:141:positions1-85	DAPK3	O43293	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O43318:36-291|KLIFS:504:positions1-85	MAP3K7	O43318	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O43353:18-294|KLIFS:512:positions1-85	RIPK2	O43353	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O60285:55-306|KLIFS:130:positions1-85	NUAK1	O60285	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O60674:849-1124|KLIFS:436:positions1-85	JAK2	O60674	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O75116:92-354|KLIFS:10:positions1-85	ROCK2	O75116	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O75385:16-278|KLIFS:328:positions1-85	ULK1	O75385	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O75460:571-832|KLIFS:273:positions1-85	ERN1	O75460	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O75582:49-318|KLIFS:49:positions1-85	RPS6KA5	O75582	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O75676:33-301|KLIFS:47:positions1-85	RPS6KA4	O75676	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O75716:20-293|KLIFS:280:positions1-85	STK16	O75716	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O75914:283-534|KLIFS:369:positions1-85	PAK3	O75914	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O76039:13-297|KLIFS:216:positions1-85	CDKL5	O76039	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O94768:33-293|KLIFS:143:positions1-85	STK17B	O94768	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O94804:36-294|KLIFS:373:positions1-85	STK10	O94804	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O94806:576-832|KLIFS:164:positions1-85	PRKD3	O94806	PTC003	3	BLOCKED_MAPPING	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O95382:648-906|KLIFS:346:positions1-85	MAP3K6	O95382	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O95747:17-291|KLIFS:353:positions1-85	OXSR1	O95747	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O95819:25-289|KLIFS:359:positions1-85	MAP4K4	O95819	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O95835:705-1010|KLIFS:23:positions1-85	LATS1	O95835	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O96013:321-572|KLIFS:370:positions1-85	PAK4	O96013	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:O96017:220-486|KLIFS:168:positions1-85	CHEK2	O96017	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P00533:712-979|KLIFS:406:positions1-85	EGFR	P00533	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P04049:349-609|KLIFS:510:positions1-85	RAF1	P04049	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P04626:720-987|KLIFS:407:positions1-85	ERBB2	P04626	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P04629:510-781|KLIFS:480:positions1-85	NTRK1	P04629	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P06213:1023-1298|KLIFS:433:positions1-85	INSR	P06213	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P06239:245-498|KLIFS:466:positions1-85	LCK	P06239	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P06241:271-524|KLIFS:461:positions1-85	FYN	P06241	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P07332:561-822|KLIFS:427:positions1-85	FES	P07332	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P07333:582-910|KLIFS:449:positions1-85	CSF1R	P07333	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P07947:277-530|KLIFS:463:positions1-85	YES1	P07947	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P07948:247-501|KLIFS:467:positions1-85	LYN	P07948	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P07949:724-1016|KLIFS:454:positions1-85	RET	P07949	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P08069:999-1274|KLIFS:432:positions1-85	IGF1R	P08069	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P08581:1078-1345|KLIFS:446:positions1-85	MET	P08581	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P08631:262-515|KLIFS:465:positions1-85	HCK	P08631	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P08922:1945-2222|KLIFS:458:positions1-85	ROS1	P08922	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P09619:600-962|KLIFS:453:positions1-85	PDGFRB	P09619	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P09769:263-516|KLIFS:460:positions1-85	FGR	P09769	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P0C1S8:212-486|KLIFS:335:positions1-85	WEE2	P0C1S8	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
UniProt:P10721:589-937|KLIFS:451:positions1-85	KIT	P10721	PTC001	323	PASS_EXACT	same KLIFS family OR KLIFS85 identity >=0.70 OR AlphaFold-pocket US-align max TM >=0.75; transitive closure
