ligand_id	source_name	ligand_component_id	outer_fold	assignment_policy
BPNUQXPIQBZCMR-IBGZPJMESA-N	A-674563	LSC007	8	label_blind_greedy_component_balance_v1
WJEOLQLKVOPQFV-UHFFFAOYSA-N	AB-1010	LSC026	1	label_blind_greedy_component_balance_v1
MPVGZUGXCQEXTM-UHFFFAOYSA-N	ABT-869	LSC030	3	label_blind_greedy_component_balance_v1
CVWXJKQAOSCOAB-UHFFFAOYSA-N	AC220	LSC010	4	label_blind_greedy_component_balance_v1
RITAVMQDGBJQJZ-FMIVXFBMSA-N	AG-013736	LSC044	6	label_blind_greedy_component_balance_v1
RAHBGWKEPAQNFF-UHFFFAOYSA-N	AMG-706	LSC043	5	label_blind_greedy_component_balance_v1
ODPGGGTTYSGTGO-UHFFFAOYSA-N	AST-487	LSC034	7	label_blind_greedy_component_balance_v1
OVPNQJVDAFNBDN-UHFFFAOYSA-N	AT-7519	LSC037	9	label_blind_greedy_component_balance_v1
QYZOGCMHVIGURT-UHFFFAOYSA-N	AZD-1152HQPA	LSC042	4	label_blind_greedy_component_balance_v1
XXJWYDDUDKYVKI-UHFFFAOYSA-N	AZD-2171	LSC058	0	label_blind_greedy_component_balance_v1
CYOHGALHFOKKQC-UHFFFAOYSA-N	AZD-6244/ARRY-886	LSC012	6	label_blind_greedy_component_balance_v1
XQVVPGYIWAGRNI-JOCHJYFZSA-N	BI-2536	LSC057	9	label_blind_greedy_component_balance_v1
ULXXDDBFHOBEHA-CWDCEQMOSA-N	BIBW-2992	LSC051	3	label_blind_greedy_component_balance_v1
MVCOAUNKQVWQHZ-UHFFFAOYSA-N	BIRB-796	LSC031	4	label_blind_greedy_component_balance_v1
PSPFQEBFYXJZEV-UHFFFAOYSA-N	BMS-345541	LSC040	2	label_blind_greedy_component_balance_v1
OUSFTKFNBAZUKL-UHFFFAOYSA-N	BMS-387032/SNS-032	LSC036	8	label_blind_greedy_component_balance_v1
WCWUXEGQKLTGDX-LLVKDONJSA-N	BMS-540215	LSC055	7	label_blind_greedy_component_balance_v1
UIARLYUEJFELEN-LROUJFHJSA-N	CEP-701	LSC048	0	label_blind_greedy_component_balance_v1
PIQCTGMSNWUMAF-UHFFFAOYSA-N	CHIR-258/TKI-258	LSC039	1	label_blind_greedy_component_balance_v1
YABJJWZLRMPFSI-UHFFFAOYSA-N	CHIR-265/RAF-265	LSC059	1	label_blind_greedy_component_balance_v1
OMZCMEYTWSXEPZ-UHFFFAOYSA-N	CI-1033	LSC035	2	label_blind_greedy_component_balance_v1
GFMMXOIFOQCCGU-UHFFFAOYSA-N	CI-1040	LSC016	0	label_blind_greedy_component_balance_v1
UJLAWZDWDVHWOW-YPMHNXCESA-N	CP-690550	LSC050	2	label_blind_greedy_component_balance_v1
