split	fold	model	chosen_alpha	inner_scores_json
union_component_leave_one_out	component-01	nuisance_ridge	100.0	"[{""alpha"":0.01,""inner_rmse"":1.7619633808401847},{""alpha"":0.1,""inner_rmse"":1.7510818799664696},{""alpha"":1.0,""inner_rmse"":1.6549027369298714},{""alpha"":10.0,""inner_rmse"":1.2293658254442732},{""alpha"":100.0,""inner_rmse"":0.8826712955618408}]"
union_component_leave_one_out	component-01	ligand_ecfp_ridge	100.0	"[{""alpha"":0.01,""inner_rmse"":0.8633611289340428},{""alpha"":0.1,""inner_rmse"":0.8633037513586211},{""alpha"":1.0,""inner_rmse"":0.8627425918221815},{""alpha"":10.0,""inner_rmse"":0.858152016286384},{""alpha"":100.0,""inner_rmse"":0.8431041403756127}]"
union_component_leave_one_out	component-01	ligand_gmolai_ridge	100.0	"[{""alpha"":0.01,""inner_rmse"":2.2100399943855984},{""alpha"":0.1,""inner_rmse"":2.1218993008754725},{""alpha"":1.0,""inner_rmse"":1.639559288429645},{""alpha"":10.0,""inner_rmse"":1.024109286382732},{""alpha"":100.0,""inner_rmse"":0.8100461709355462}]"
union_component_leave_one_out	component-01	protein_sequence_ridge	100.0	"[{""alpha"":0.01,""inner_rmse"":0.8977532875158458},{""alpha"":0.1,""inner_rmse"":0.8977514169767237},{""alpha"":1.0,""inner_rmse"":0.8977327169406218},{""alpha"":10.0,""inner_rmse"":0.8975462505770344},{""alpha"":100.0,""inner_rmse"":0.8957335135131277}]"
union_component_leave_one_out	component-01	concat_ecfp_sequence_ridge	100.0	"[{""alpha"":0.01,""inner_rmse"":0.905440476684782},{""alpha"":0.1,""inner_rmse"":0.9054048630977706},{""alpha"":1.0,""inner_rmse"":0.9050594269260428},{""alpha"":10.0,""inner_rmse"":0.9024450694731746},{""alpha"":100.0,""inner_rmse"":0.8968777211303811}]"
union_component_leave_one_out	component-01	pocket_composition_ridge_S0	100.0	"[{""alpha"":0.01,""inner_rmse"":0.9978902088421536},{""alpha"":0.1,""inner_rmse"":0.9978338091183856},{""alpha"":1.0,""inner_rmse"":0.9972716999870433},{""alpha"":10.0,""inner_rmse"":0.9918334974621269},{""alpha"":100.0,""inner_rmse"":0.9512423015445707}]"
union_component_leave_one_out	component-01	pocket_structure_ridge_S0	10.0	"[{""alpha"":0.01,""inner_rmse"":8.028933461768554},{""alpha"":0.1,""inner_rmse"":2.7402425083340756},{""alpha"":1.0,""inner_rmse"":1.045838541123544},{""alpha"":10.0,""inner_rmse"":0.8803330165425298},{""alpha"":100.0,""inner_rmse"":0.9382827090013394}]"
union_component_leave_one_out	component-01	concat_ecfp_pocket_ridge_S0	0.01	"[{""alpha"":0.01,""inner_rmse"":0.8484146084694185},{""alpha"":0.1,""inner_rmse"":0.8484277021513008},{""alpha"":1.0,""inner_rmse"":0.8485597437667016},{""alpha"":10.0,""inner_rmse"":0.8499295954562844},{""alpha"":100.0,""inner_rmse"":0.8586973428373018}]"
union_component_leave_one_out	component-01	concat_gmolai_pocket_ridge_S0	100.0	"[{""alpha"":0.01,""inner_rmse"":1.580484905628487},{""alpha"":0.1,""inner_rmse"":1.526206952073991},{""alpha"":1.0,""inner_rmse"":1.22704052223456},{""alpha"":10.0,""inner_rmse"":0.8840796306134635},{""alpha"":100.0,""inner_rmse"":0.837906823877418}]"
union_component_leave_one_out	component-01	pocket_composition_ridge_S1	100.0	"[{""alpha"":0.01,""inner_rmse"":0.9978902088421536},{""alpha"":0.1,""inner_rmse"":0.9978338091183856},{""alpha"":1.0,""inner_rmse"":0.9972716999870433},{""alpha"":10.0,""inner_rmse"":0.9918334974621269},{""alpha"":100.0,""inner_rmse"":0.9512423015445707}]"
union_component_leave_one_out	component-01	pocket_structure_ridge_S1	100.0	"[{""alpha"":0.01,""inner_rmse"":0.9801324453318296},{""alpha"":0.1,""inner_rmse"":0.9801048737790431},{""alpha"":1.0,""inner_rmse"":0.9798296901855889},{""alpha"":10.0,""inner_rmse"":0.977130042381284},{""alpha"":100.0,""inner_rmse"":0.9545089018154116}]"
union_component_leave_one_out	component-01	concat_ecfp_pocket_ridge_S1	10.0	"[{""alpha"":0.01,""inner_rmse"":0.8676364278377198},{""alpha"":0.1,""inner_rmse"":0.8676317396647402},{""alpha"":1.0,""inner_rmse"":0.8675895936661855},{""alpha"":10.0,""inner_rmse"":0.8675165642413634},{""alpha"":100.0,""inner_rmse"":0.871236695105091}]"
union_component_leave_one_out	component-01	concat_gmolai_pocket_ridge_S1	100.0	"[{""alpha"":0.01,""inner_rmse"":2.0572753361874234},{""alpha"":0.1,""inner_rmse"":1.971335807856763},{""alpha"":1.0,""inner_rmse"":1.4977734444122885},{""alpha"":10.0,""inner_rmse"":0.9389915378517463},{""alpha"":100.0,""inner_rmse"":0.8267485767896717}]"
union_component_leave_one_out	component-01	negative_pocket_permuted_concat_gmolai_S0	100.0	"[{""alpha"":0.01,""inner_rmse"":1.8679099264092074},{""alpha"":0.1,""inner_rmse"":1.7945023675188003},{""alpha"":1.0,""inner_rmse"":1.3794662278799235},{""alpha"":10.0,""inner_rmse"":0.9304373941599637},{""alpha"":100.0,""inner_rmse"":0.8647285351417575}]"
union_component_leave_one_out	component-02	nuisance_ridge	100.0	"[{""alpha"":0.01,""inner_rmse"":1.411200620640101},{""alpha"":0.1,""inner_rmse"":1.410277306325797},{""alpha"":1.0,""inner_rmse"":1.4020452696659642},{""alpha"":10.0,""inner_rmse"":1.3670803309095472},{""alpha"":100.0,""inner_rmse"":1.3581863180217988}]"
