audit_id	series_id	observation_id	affinity_extreme	source_replicate_index	consensus_pKd	consensus_source_Kd_nM	ligand_inchikey	canonical_smiles	publication_id	target_class	publication_era	site_reference_pdb_id	site_reference_ligand_comp_id	bindingdb_BindingDB Reactant_set_id	bindingdb_BindingDB Ligand Name	bindingdb_Target Name	bindingdb_Kd (nM)	bindingdb_pH	bindingdb_Temp (C)	bindingdb_Curation/DataSource	bindingdb_Article DOI	bindingdb_PMID	bindingdb_Authors	bindingdb_Institution	bindingdb_Date of publication	bindingdb_PDB ID(s) for Ligand-Target Complex
G3AUD-001	G3S-0c2b41bb223d8483	G3S-0c2b41bb223d8483-L0019	lowest_pKd	1	5.97881070093	1050	QRIAJIVDARKHTF-UHFFFAOYSA-N	Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4ccc(C(F)(F)F)cc4)cc(Cl)cc32)cc(C)c1F	doi:10.1021/acs.jmedchem.8b01108	protein_protein_interaction_regulator	2017-2023	6D55	FWA	51120578	CHEMBL4210407	Son of sevenless homolog 1	 1050			ChEMBL	10.1021/acs.jmedchem.8b01108	30205005	Hodges, TR; Abbott, JR; Little, AJ; Sarkar, D; Salovich, JM; Howes, JE; Akan, DT; Sai, J; Arnold, AL; Browning, C; Burns, MC; Sobolik, T; Sun, Q; Beesetty, Y; Coker, JA; Scharn, D; Stadtmueller, H; Rossanese, OW; Phan, J; Waterson, AG; McConnell, DB; Fesik, SW	Boehringer Ingelheim Rcv	10/11/2018	
G3AUD-002	G3S-0c2b41bb223d8483	G3S-0c2b41bb223d8483-L0028	highest_pKd	1	8.04575749056	9	WYYRAJGTUGUYGY-UHFFFAOYSA-N	Cc1cc(Cn2c(N3CC4(CNC4)C3)nc3c(-c4c(C)n[nH]c4C)cc(Cl)cc32)cc(C)c1F	doi:10.1021/acs.jmedchem.8b01108	protein_protein_interaction_regulator	2017-2023	6D55	FWA	51120594	CHEMBL4214703	Son of sevenless homolog 1	 9.0			ChEMBL	10.1021/acs.jmedchem.8b01108	30205005	Hodges, TR; Abbott, JR; Little, AJ; Sarkar, D; Salovich, JM; Howes, JE; Akan, DT; Sai, J; Arnold, AL; Browning, C; Burns, MC; Sobolik, T; Sun, Q; Beesetty, Y; Coker, JA; Scharn, D; Stadtmueller, H; Rossanese, OW; Phan, J; Waterson, AG; McConnell, DB; Fesik, SW	Boehringer Ingelheim Rcv	10/11/2018	
G3AUD-003	G3S-0d6ea790d633fb5e	G3S-0d6ea790d633fb5e-L0011	lowest_pKd	1	3.39469495386	403000	IQUXPEZGFSJPFM-UHFFFAOYSA-N	COC(=O)c1ccc(-c2cccc3c2CSC[C@H](C(=O)N(C)C)NC(=O)[C@H](NC(=O)[C@@H]2CCCN2C(C)=O)COC3=O)cc1	doi:10.1021/acs.jmedchem.1c01975	protein_protein_interaction_regulator	2017-2023	7Q6Q	8ZL	51447493	CHEMBL5083962	Kelch-like ECH-associated protein 1	 403000			ChEMBL	10.1021/acs.jmedchem.1c01975	35108001	Begnini, F; Geschwindner, S; Johansson, P; Wissler, L; Lewis, RJ; Danelius, E; Luttens, A; Matricon, P; Carlsson, J; Lenders, S; König, B; Friedel, A; Sjö, P; Schiesser, S; Kihlberg, J	Uppsala University	2/24/2022	
G3AUD-004	G3S-0d6ea790d633fb5e	G3S-0d6ea790d633fb5e-L0015	highest_pKd	1	7.55311911897	29;27	LOJAQLGCTHYMMK-UHFFFAOYSA-N	CC(=O)N1CCC[C@H]1C(=O)N[C@@H]1COC(=O)c2cccc(-c3cc(F)c(C(=O)O)c(F)c3)c2CSC[C@H](C(=O)N(C)C)NC1=O	doi:10.1021/acs.jmedchem.1c01975	protein_protein_interaction_regulator	2017-2023	7Q6Q	8ZL	51447502	CHEMBL5089816	Kelch-like ECH-associated protein 1	 29			ChEMBL	10.1021/acs.jmedchem.1c01975	35108001	Begnini, F; Geschwindner, S; Johansson, P; Wissler, L; Lewis, RJ; Danelius, E; Luttens, A; Matricon, P; Carlsson, J; Lenders, S; König, B; Friedel, A; Sjö, P; Schiesser, S; Kihlberg, J	Uppsala University	2/24/2022	
G3AUD-005	G3S-0d6ea790d633fb5e	G3S-0d6ea790d633fb5e-L0015	highest_pKd	2	7.55311911897	29;27	LOJAQLGCTHYMMK-UHFFFAOYSA-N	CC(=O)N1CCC[C@H]1C(=O)N[C@@H]1COC(=O)c2cccc(-c3cc(F)c(C(=O)O)c(F)c3)c2CSC[C@H](C(=O)N(C)C)NC1=O	doi:10.1021/acs.jmedchem.1c01975	protein_protein_interaction_regulator	2017-2023	7Q6Q	8ZL	51447521	CHEMBL5089816	Kelch-like ECH-associated protein 1	 27			ChEMBL	10.1021/acs.jmedchem.1c01975	35108001	Begnini, F; Geschwindner, S; Johansson, P; Wissler, L; Lewis, RJ; Danelius, E; Luttens, A; Matricon, P; Carlsson, J; Lenders, S; König, B; Friedel, A; Sjö, P; Schiesser, S; Kihlberg, J	Uppsala University	2/24/2022	
G3AUD-006	G3S-1f6e9ae98fcbd583	G3S-1f6e9ae98fcbd583-L0013	lowest_pKd	1	2.95860731484	1100000	OCLJMASRJGRPNQ-UHFFFAOYSA-N	Oc1cc(F)ccc1CNc1ncccc1-c1cccs1	doi:10.1021/acs.jmedchem.3c00590	protease	2017-2023	4NBL	2J6	51550688	CHEMBL5415444	Caspase-6	 1100000			ChEMBL	10.1021/acs.jmedchem.3c00590	37406165	n/a	n/a	7/27/2023	
G3AUD-007	G3S-1f6e9ae98fcbd583	G3S-1f6e9ae98fcbd583-L0014	highest_pKd	1	7.09691001301	80	OJJZLXTYPOUKMM-UHFFFAOYSA-N	Oc1cc(F)ccc1CNc1ncccc1-c1nccnn1	doi:10.1021/acs.jmedchem.3c00590	protease	2017-2023	4NBL	2J6	51550687	CHEMBL5419962	Caspase-6	 80			ChEMBL	10.1021/acs.jmedchem.3c00590	37406165	n/a	n/a	7/27/2023	
G3AUD-008	G3S-2a143dedddd90694	G3S-2a143dedddd90694-L0001	lowest_pKd	1	4.40893539297	39000	BUVXBPMTHRMSJE-UHFFFAOYSA-N	N#Cc1ccc(C(=O)CSc2nc3nc(N)[nH]c(=O)c3[nH]2)cc1	doi:10.1016/j.bmc.2014.02.022	metabolic_enzyme	2010-2016	4M5I	YH6	51209592	CHEMBL3233206	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	 39000			ChEMBL	10.1016/j.bmc.2014.02.022	24613625	Yun, MK; Hoagland, D; Kumar, G; Waddell, MB; Rock, CO; Lee, RE; White, SW	St. Jude Children'S Research Hospital	4/1/2014	
G3AUD-009	G3S-2a143dedddd90694	G3S-2a143dedddd90694-L0009	highest_pKd	1	5.97881070093	1050	QCNSIKIMRANBNF-UHFFFAOYSA-N	NC1N=C(O)c2nc(CO)cnc2N1	doi:10.1016/j.bmc.2014.02.022	metabolic_enzyme	2010-2016	4M5I	YH6	51209599	CHEMBL3233217	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	 1050			ChEMBL	10.1016/j.bmc.2014.02.022	24613625	Yun, MK; Hoagland, D; Kumar, G; Waddell, MB; Rock, CO; Lee, RE; White, SW	St. Jude Children'S Research Hospital	4/1/2014	
G3AUD-010	G3S-3bfb2092ea669ef8	G3S-3bfb2092ea669ef8-L0006	lowest_pKd	1	3.52724355068	297000	KGGCDCLRIGGOAO-UHFFFAOYSA-N	O=C(c1ccc(N2CNC=N2)cc1)N1CCCC1c1ccc(F)cc1	doi:10.1021/acs.jmedchem.0c01768	methyllysine_reader	2017-2023	6UE6	Q5D	51393093	CHEMBL4755270	Histone-lysine N-methyltransferase NSD2	 297000			ChEMBL	10.1021/acs.jmedchem.0c01768	33522809	Ferreira de Freitas, R; Liu, Y; Szewczyk, MM; Mehta, N; Li, F; McLeod, D; Zepeda-Velázquez, C; Dilworth, D; Hanley, RP; Gibson, E; Brown, PJ; Al-Awar, R; James, LI; Arrowsmith, CH; Barsyte-Lovejoy, D; Min, J; Vedadi, M; Schapira, M; Allali-Hassani, A	University of Toronto	2/11/2021	
