observation_id	series_id	publication_id	target_name	affinity_extreme	bindingdb_Kd_nM	ligand_identifier	verification_status	primary_value	primary_location	assay	target_construct	reference_structure_relation	source_url
G3S-0c2b41bb223d8483-L0019	G3S-0c2b41bb223d8483	doi:10.1021/acs.jmedchem.8b01108	Son of sevenless homolog 1	lowest_pKd	1050	37	verified	1.05 micromolar	Table 4	fluorescence-polarization binding assay; Kd in micromolar	SOS1 catalytic domain in the RAS-SOS1 exchange complex	6D55 is from the measurement publication	https://pmc.ncbi.nlm.nih.gov/articles/PMC8314423/
G3S-0c2b41bb223d8483-L0028	G3S-0c2b41bb223d8483	doi:10.1021/acs.jmedchem.8b01108	Son of sevenless homolog 1	highest_pKd	9	65	verified	0.009 micromolar	Tables 5 and 6	fluorescence-polarization binding assay; Kd in micromolar	SOS1 catalytic domain in the RAS-SOS1 exchange complex	6D55 is from the measurement publication	https://pmc.ncbi.nlm.nih.gov/articles/PMC8314423/
G3S-0d6ea790d633fb5e-L0011	G3S-0d6ea790d633fb5e	doi:10.1021/acs.jmedchem.1c01975	Kelch-like ECH-associated protein 1	lowest_pKd	403000	65	verified	403000 nM	Figure 10B	SPR inhibition-in-solution and ITC/DBA corroboration	human KEAP1 Kelch domain binding the Nrf2 ETGE site	7Q6Q is from the measurement publication	https://pmc.ncbi.nlm.nih.gov/articles/PMC8883477/
G3S-0d6ea790d633fb5e-L0015	G3S-0d6ea790d633fb5e	doi:10.1021/acs.jmedchem.1c01975	Kelch-like ECH-associated protein 1	highest_pKd	29;27	78	verified	27 and 29 nM	Figure 10C and Table 1	SPR inhibition-in-solution and ITC/DBA corroboration	human KEAP1 Kelch domain binding the Nrf2 ETGE site	7Q6Q is from the measurement publication	https://pmc.ncbi.nlm.nih.gov/articles/PMC8883477/
G3S-1f6e9ae98fcbd583-L0013	G3S-1f6e9ae98fcbd583	doi:10.1021/acs.jmedchem.3c00590	Caspase-6	lowest_pKd	1100000	26	verified	1100 micromolar	Table 1	surface plasmon resonance; Kd in micromolar	procaspase-6 allosteric site construct used for SPR	4NBL is a historical same-site procaspase-6 structure	https://pmc.ncbi.nlm.nih.gov/articles/PMC10388292/
G3S-1f6e9ae98fcbd583-L0014	G3S-1f6e9ae98fcbd583	doi:10.1021/acs.jmedchem.3c00590	Caspase-6	highest_pKd	80	25	verified	0.080 micromolar	Table 1	surface plasmon resonance; Kd in micromolar	procaspase-6 allosteric site construct used for SPR	4NBL is a historical same-site procaspase-6 structure	https://pmc.ncbi.nlm.nih.gov/articles/PMC10388292/
G3S-2a143dedddd90694-L0001	G3S-2a143dedddd90694	doi:10.1016/j.bmc.2014.02.022	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	lowest_pKd	39000	6	verified	39 micromolar	Table 1	SPR equilibrium/kinetic binding	E. coli HPPK catalytic-domain construct	4M5I is from the measurement publication	https://pmc.ncbi.nlm.nih.gov/articles/PMC4269157/
G3S-2a143dedddd90694-L0009	G3S-2a143dedddd90694	doi:10.1016/j.bmc.2014.02.022	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	highest_pKd	1050	DHP	verified	1.05 micromolar kinetic Kd	DHP SPR paragraph and Figure S2	SPR equilibrium/kinetic binding	E. coli HPPK catalytic-domain construct	4M5I is from the measurement publication	https://pmc.ncbi.nlm.nih.gov/articles/PMC4269157/
G3S-3bfb2092ea669ef8-L0005	G3S-3bfb2092ea669ef8	doi:10.1021/acs.jmedchem.0c01768	Histone-lysine N-methyltransferase NSD2	highest_pKd	5700	3g	verified	5.7 micromolar	Table 2	surface plasmon resonance	human NSD2 PWWP1 domain	6UE6 is from the measurement publication	https://pmc.ncbi.nlm.nih.gov/articles/PMC8130708/
G3S-3bfb2092ea669ef8-L0006	G3S-3bfb2092ea669ef8	doi:10.1021/acs.jmedchem.0c01768	Histone-lysine N-methyltransferase NSD2	lowest_pKd	297000	2g	verified	297 micromolar	Table 1	surface plasmon resonance	human NSD2 PWWP1 domain	6UE6 is from the measurement publication	https://pmc.ncbi.nlm.nih.gov/articles/PMC8130708/
G3S-532f119ff68b2182-L0007	G3S-532f119ff68b2182	doi:10.1021/acs.jmedchem.8b01642	S-methyl-5'-thioadenosine phosphorylase	highest_pKd	0.63	15	verified	0.63 nM	Figure 2 and Structure-Inhibition Relationship paragraph	tight-binding inhibition-derived Kd	human MTAP	6DYZ is from the measurement publication	https://pmc.ncbi.nlm.nih.gov/articles/PMC6635953/
G3S-532f119ff68b2182-L0010	G3S-532f119ff68b2182	doi:10.1021/acs.jmedchem.8b01642	S-methyl-5'-thioadenosine phosphorylase	lowest_pKd	70	27	verified	70 nM	Figure 2	tight-binding inhibition-derived Kd	human MTAP	6DYZ is from the measurement publication	https://pmc.ncbi.nlm.nih.gov/articles/PMC6635953/
G3S-61544361ce31eac2-L0007	G3S-61544361ce31eac2	doi:10.1016/j.chembiol.2007.10.011	Sterol 14-alpha demethylase	lowest_pKd	1200	azole 5	verified	1.2 micromolar	Figure 2A	optical spectral-binding apparent Kd	T. cruzi CYP51	2WX2 is a later same-ortholog historical holo structure	https://pmc.ncbi.nlm.nih.gov/articles/PMC2324070/
G3S-61544361ce31eac2-L0016	G3S-61544361ce31eac2	doi:10.1016/j.chembiol.2007.10.011	Sterol 14-alpha demethylase	highest_pKd	20	ketoconazole	failed_numeric_mismatch_quarantined	0.2 micromolar	Figure 2A	optical spectral-binding apparent Kd	T. cruzi CYP51	2WX2 is a later same-ortholog historical holo structure	https://pmc.ncbi.nlm.nih.gov/articles/PMC2324070/
G3S-7e32e8326784c5b1-L0004	G3S-7e32e8326784c5b1	pmid:38894924	E3 ubiquitin-protein ligase CBL-B	lowest_pKd	6000	unresolved publication compound identifier	unresolved_exact_value	not directly displayed	assay method verified in supplement; exact 6 micromolar value unresolved	Biacore SPR at 20 C in HEPES/NaCl/TCEP buffer	human CBL-B TKB/SH2 domain, residues 40-426	8VW5 is from the measurement publication	https://pmc.ncbi.nlm.nih.gov/articles/PMC11181488/
G3S-7e32e8326784c5b1-L0007	G3S-7e32e8326784c5b1	pmid:38894924	E3 ubiquitin-protein ligase CBL-B	highest_pKd	44	27	verified	0.044 micromolar	Table 4	Biacore SPR at 20 C in HEPES/NaCl/TCEP buffer	human CBL-B TKB/SH2 domain, residues 40-426	8VW5 is from the measurement publication	https://pmc.ncbi.nlm.nih.gov/articles/PMC11181488/
G3S-82d2cb1cb942342d-L0007	G3S-82d2cb1cb942342d	doi:10.1021/acs.jmedchem.6b00085	Heat shock protein HSP 90-alpha	highest_pKd	240	41	verified	0.24 micromolar	Table 1	fluorescence-polarization apparent Kd	human HSP90alpha ligand-binding domain	5VYY is a later same-pocket structure	https://pmc.ncbi.nlm.nih.gov/articles/PMC4979570/
