project	canonical_url	pinned_revision	licence_observed	inspected_paths	sha256_evidence	decision	accessed
gMolAI-v2.0	https://github.com/Jalil-Mahdizadeh/gMolAI-v2.0	29ced8352886692c00a792d24a183f05e5de0059	no root licence detected	src/gmolai_retrain/model.py; src/gmolai_retrain/data.py; configs and representation artifacts	model.py=32aaaee98da0af0de69abf35930dcff743924e0d78a59652955b466b93955f02; data.py=73a955e746a328b53bd2beee5e57eca65e36677f921bb57caeb8d00ff387b3ca	local adapter validation only; resolve rights before redistribution	2026-08-20
PSG-BAR	https://github.com/diamondspark/PSG-BAR	6540ab8ccccdb543ada7bc8b51a01a171d5c3786	no root licence detected	Preprocessing/GraphProcessing.py; Layers/GraphModel.py; README; config.py	GraphProcessing.py=b75e69d3b446155f5b4e1cac9a04f3d1a0e82919063abbc927dd7fadf7eb90ad; GraphModel.py=c28372ed44b03a5d35fcf5cb39d4e03e17e341b3cd68cbcc8b74d8a9f22e6af2	clean-room comparator only	2026-08-20
AttentionMGT-DTA	https://github.com/JK-Liu7/AttentionMGT-DTA	e94a28dad3642abab82f353f799aa1246e7ab0dc	no root licence detected	protein_process.py; compound_process.py; train_DTA.py; models/net.py	protein_process.py=76618ce46ae28c4f0049fe16d8417bd7b1e88668530ee27a8a94934a0beb7647; compound_process.py=54fbfb5f3a2322b7555b521cb1b267c3d91c427cddefe04b1b4cf05e40dd5386; train_DTA.py=aefd04dd3a1ea6c0e6bd648f0d991875595944737a153dc3d433cc81ce9f51ec	clean-room concepts only	2026-08-20
BlendNet	https://github.com/Blue1993/BlendNet	80961efb55910044e9ea20e34eeddcd23caee84e	no root licence detected	README; preprocessing_PDB notebooks; code/04.PDBbind_training.py; code/09.BindingDB_test.py	04.PDBbind_training.py=ceb5ee1d9c75d62bcf682c74ddb670fccd56379b0a1ccb25165009a5b9bab460; 09.BindingDB_test.py=91c417b9c33021a9219fd8a1ff346ffb970b9530fe8e7303b72455719d5a5912	privileged comparator only	2026-08-20
AttentionSiteDTI	https://github.com/yazdanimehdi/AttentionSiteDTI	18ccacb779c90ba449d5bcc66abb80318e65c225	CC BY 4.0 file present	LICENCE; human_data.py; layers.py; model_abiliation.py	LICENCE=7e7170e3cebf88a9f60c7b8421418323c09304da1af4d5e90f4da1dc1c8a2661; human_data.py=acac2cc288a929cc0d74adbaf37408470ee53c63785c3e1f455e705b1ce3afeb; layers.py=c85249896d692658ffa54db656ced4121b3addcdbec198ddc486d1400a1c3f18	binary diagnostic/clean-room baseline	2026-08-20
BindingSite-AugmentedDTA	https://github.com/yazdanimehdi/BindingSite-AugmentedDTA	af23b19fee602993746120362478dc15f50c0660	CC BY 4.0 file present	README; Davis_with_3D_Structures.csv; Kiba_with_3D_Structures.csv	README=e85a2e4cb68e8a4fb33b7bf144d4625a0bb084586b077e4869106c947e547b80	mapping reference only	2026-08-20
MMPD-DTA	https://github.com/zhc-moushang/MMPD-DTA	69926361c8155fdd40ea2aef7df0aa3fd7de1353	no root licence detected	dataset.py; model.py; README.md	dataset.py=8c2419af547a847f86f3abf873dae2134d4d33238c6e3b0979979645221237d3; model.py=2d267809f687746e63693a4091397711839316dd3b8981f1fb5c70133c0eaa44; README.md=8f6dedc7cdd7b744f26ee15305ae6831f44a945d5a43db2f71b289db0cf5d270	non-strict comparator only	2026-08-20
AlignNet	https://github.com/altriavin/AlignNet	c5528d8c557ecd318e1b998f109131e1bc2e9dcc	MIT	README; get_pretrain_embdding/graph_pyg.py; graphmvp_extrator.py; utils.py	commit-pinned tree; individual hashes reproducible from revision	non-strict comparator only	2026-08-20
LigUnity	https://github.com/IDEA-XL/LigUnity	8ae35edba5481aa13de8a5bac6b03c1c1860ef3c	Apache-2.0 code; separate data terms	README; unimol/data; py_scripts/write_case_study.py; HGNN/screening.py	commit-pinned tree; individual hashes reproducible from revision	non-strict comparator only	2026-08-20
CSCo-DTA	https://github.com/23AIBox/23AIBox-CSCo-DTA	ba1aa7feebb926457c830acdf081f057d6033528	no root licence detected	README.md; data_process.py; models.py; inference.py	README.md=c49d829f8a304fe6c3d172904bc732b04f329ad511198e40fc7839ac7d6c5c28; data_process.py=3784d6329b9f108ae2401ec144f5ab5ebf62e85d983190f1e56b5d295fda8032; models.py=45e49704779c4f5f63addd539cea429b5844019d972d137a4d7c3ea97997e8c4	adjacent structure-proxy baseline only	2026-08-20
OpenCADD-KLIFS	https://github.com/volkamerlab/opencadd	57eafc2d4bd1970742773fbd40764fc47dc480e0	MIT	opencadd/databases/klifs/api.py; core.py; remote.py; schema.py	api.py=4b9987db0c360dc1d9dfd5f83b17aa1b1e5728f340affb2b1e4c81555732d9c5; core.py=44bf112935099a0a88fd90b1c065087a1223b2b1a1b370ab46c6cea3d751bd08; remote.py=cfecfbc311d7a95fa3414b63dd5d45c5698e926bbdf9640e44d82fb141768db4	API-schema interpretation only; official KLIFS payloads are the evidence	2026-08-21
IDG-DREAM-analysis	https://doi.org/10.5281/zenodo.4648011	Zenodo record 4648011	Zenodo terms and archived repository metadata	Fig3.csv; SuppFig26b.csv; round-1 and round-2 Rmd analyses	manifest=data/manifests/gate4a/idg-dream-noise-evidence-v1.json	noise-context audit only; not a practical-equivalence threshold	2026-08-21
