series_id	prestructure_component_id	component_series_count	retained_ligand_count	retained_nonempty_scaffold_count	retained_pKd_range	scaffold_cluster_count	eligible_scaffold_cluster_count	target_names	publication_id	pdb_id	alignment_identity	resolution_angstrom
G3S-014e4407ee50fa22	G3C-001	211	36	8	4.56507643	1	0	Endothelial PAS domain-containing protein 1	doi:10.1021/acs.jmedchem.3c00332	8CK4	0.991071429	2.29
G3S-03ecbf7361b64421	G3C-001	211	10	10	2.01360318	3	0	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta	doi:10.1021/acs.jmedchem.7b01243	5X74	0.993333333	2.25
G3S-05e5316778a15c3d	G3C-001	211	43	43	4.5563025	34	6	Epithelial discoidin domain-containing receptor 1	doi:10.1038/nbt.1990	5BVW	1	1.94
G3S-0b24543ec45bef8f	G3C-001	211	15	13	1.60296383	3	0	Nicotinamide phosphoribosyltransferase	doi:10.1016/j.bmcl.2013.12.062	4N9B	1	2.859
G3S-0bab6c6bc8b2a701	G3C-001	211	27	27	3.16350213	23	3	Dual specificity mitogen-activated protein kinase kinase 1	doi:10.1038/nbt.1990	4U7Z	1	2.805
G3S-0c2b41bb223d8483	G3C-001	211	31	16	2.06694679	1	0	Son of sevenless homolog 1	doi:10.1021/acs.jmedchem.8b01108	6D55	1	1.68
G3S-0c3aa3eea1cd9401	G3C-001	211	13	8	3.05695257	3	3	GTPase KRas	pmid:40162713	9GGT	0.99408284	1.71
G3S-0d24eaa6dbc2665b	G3C-001	211	23	15	2.84509804	1	0	Carbonic anhydrase 2	doi:10.1021/jm00039a023	3V2M	1	1.471
G3S-0d3a03dece105f57	G3C-001	211	13	9	2.9015136	1	0	Galectin-3	doi:10.1021/jm801077j	4BLJ	1	1.2
G3S-0d5679149226e010	G3C-001	211	14	4	1.99270076	2	0	Tyrosine-protein kinase Lck	doi:10.1016/s0960-894x(99)00403-5	6PDJ	1	1.81
G3S-0d6ea790d633fb5e	G3C-001	211	32	19	4.15842417	1	0	Kelch-like ECH-associated protein 1	doi:10.1021/acs.jmedchem.1c01975	7Q6Q	0.993079585	2.55
G3S-0db14b95f9edbd42	G3C-001	211	21	14	4.81023252	5	4	Protein Mdm4	pmid:39185935	8IA5	1	1.93
G3S-0e7a45fa2fa81e87	G3C-001	211	47	47	5.40952188	33	4	Serine/threonine-protein kinase 10	doi:10.1038/nbt.1990	5AJQ	1	2.2
G3S-0ea60d28ec9de0d1	G3C-001	211	30	18	3.21146035	3	0	Carbonic anhydrase 2	doi:10.1016/j.bmc.2013.01.008	4WW6	1	1.06
G3S-0f56c3503b93c6f6	G3C-001	211	9	8	2.69291468	3	0	Bromodomain-containing protein 4	doi:10.1021/acs.jmedchem.0c00478	6S6K	0.992125984	1.4
G3S-123baf453e4557f4	G3C-001	211	11	7	1.67783499	2	0	Dihydropteroate synthase	doi:10.1021/jm501417f	5U12	1	1.839
G3S-133873650167b89b	G3C-001	211	52	25	1.91994346	1	0	Ubiquitin carboxyl-terminal hydrolase 5	pmid:34648286	7MS6	1	1.55
G3S-16762270570b655a	G3C-001	211	42	4	3.82260651	2	0	Carbonic anhydrase 1	doi:10.3109/14756366.2012.757223	1AZM	1	2
G3S-17044cfb391f4718	G3C-001	211	22	5	5.29534715	2	0	cAMP-dependent protein kinase catalytic subunit alpha	doi:10.1021/jm800797n	3VQH	0.98005698	1.95
G3S-197e79eddc015708	G3C-001	211	17	6	2.67966485	1	0	Albumin	doi:10.1021/acs.jmedchem.1c01791	8YG7	1	2.09
G3S-1a63362a8e320bf6	G3C-001	211	13	13	3.92830678	11	1	Serine/threonine-protein kinase SIK3 [59-1321]	doi:10.1038/nbt.1990	8R4Q	0.990825688	2.838
G3S-1b71410cb988afba	G3C-001	211	8	7	2.83958895	7	1	Cytochrome P450 2A6	doi:10.1124/dmd.112.045161	1Z11	1	2.05
