panel	assay_target_label	gene_symbol	uniprot_accession	reported_clone	standardized_estimand_id	davis_structure_component	eligibility_status
KIRHub2026	ABL1	ABL1	P00519	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	ABL2/ARG	ABL2	P42684	full-length	UniProt:P42684:288-539|KLIFS:393:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	ACK1	TNK2	Q07912	aa 110-476	UniProt:Q07912:126-385|KLIFS:394:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	AKT1	AKT1	P31749	full-length	UniProt:P31749:150-408|KLIFS:1:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	AKT2	AKT2	P31751	full-length	UniProt:P31751:152-409|KLIFS:2:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	AKT3	AKT3	Q9Y243	full-length	UniProt:Q9Y243:148-405|KLIFS:3:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	ALK	ALK	Q9UM73	cytoplasmic aa1058-1620	UniProt:Q9UM73:1116-1392|KLIFS:396:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	ALK1/ACVRL1	ACVRL1	P37023	cytoplasmic aa139-503	UniProt:P37023:202-492|KLIFS:518:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	ALK2/ACVR1	ACVR1	Q04771	cytoplasmic aa145-509	UniProt:Q04771:208-502|KLIFS:516:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	ALK3/BMPR1A	BMPR1A	P36894	Catalytic domain (aa187-532end)	UniProt:P36894:234-525|KLIFS:519:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	ALK4/ACVR1B	ACVR1B	P36896	aa 150-505	UniProt:P36896:207-497|KLIFS:517:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	ALK5/TGFBR1	TGFBR1	P36897	aa200-503	UniProt:P36897:205-495|KLIFS:521:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	ALK6/BMPR1B	BMPR1B	O00238	Catalytic (aa149-end)	UniProt:O00238:204-494|KLIFS:520:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	ARAF	ARAF	P10398	aa 282-end			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	ARK5/NUAK1	NUAK1	O60285	full-length	UniProt:O60285:55-306|KLIFS:130:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	ASK1/MAP3K5	MAP3K5	O99683	full-length			BLOCKED_NO_UNIQUE_DAVIS_ESTIMAND
KIRHub2026	Aurora A	AURKA	O14965	full length	UniProt:O14965:133-383|KLIFS:259:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	Aurora B	AURKB	Q96GD4	full-length	UniProt:Q96GD4:77-327|KLIFS:261:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	Aurora C	AURKC	Q9UQB9	full-length	UniProt:Q9UQB9:43-293|KLIFS:260:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	AXL	AXL	P30530	aa 473-894 end	UniProt:P30530:536-807|KLIFS:398:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	BLK	BLK	P51451	full-length	UniProt:P51451:241-494|KLIFS:464:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	BMX/ETK	BMX	P51813	full length	UniProt:P51813:417-675|KLIFS:472:positions1-85	PTC001	BLOCKED_CONSTRUCT_BOUNDARY
KIRHub2026	BRAF	BRAF	P15056	full-length	UniProt:P15056:457-717|KLIFS:509:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	BRK	PTK6	Q13882	full-length	UniProt:Q13882:191-445|KLIFS:468:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	BRSK1	BRSK1	Q8TDC3	full-length	UniProt:Q8TDC3:34-285|KLIFS:120:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	BRSK2	BRSK2	Q8IWQ3	full-length	UniProt:Q8IWQ3:19-270|KLIFS:119:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
KIRHub2026	BTK	BTK	Q06187	full-length	UniProt:Q06187:402-655|KLIFS:473:positions1-85	PTC001	MAPPED_CONSTRUCT_PENDING_SEQUENCE_VALIDATION
