estimand_id	gene_symbol	uniprot_accession	strict_global_zero_status	strict_pdb_id	strict_coordinate_sha256	site_unoccupied_status	site_unoccupied_pdb_id	site_unoccupied_coordinate_sha256	site_unoccupied_is_strict_global_zero	site_unoccupied_minimum_foreign_distance_angstrom	site_unoccupied_sidechain_coverage	expanded_coordinate_attempt_cap	expanded_search_truncated
UniProt:O00238:204-494|KLIFS:520:positions1-85	BMPR1B	O00238	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O00444:12-265|KLIFS:314:positions1-85	PLK4	O00444	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O00506:20-270|KLIFS:381:positions1-85	STK25	O00506	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O14733:120-380|KLIFS:389:positions1-85	MAP2K7	O14733	PASS	6YFZ	bb6312b3bf4fd670b1f712e70228417b0bbe84dbcd23e0ccdc1d6b9bf0a7a98c	PASS	6YFZ	bb6312b3bf4fd670b1f712e70228417b0bbe84dbcd23e0ccdc1d6b9bf0a7a98c	true		1.0	25	false
UniProt:O14757:9-265|KLIFS:121:positions1-85	CHEK1	O14757	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:O14920:15-300|KLIFS:270:positions1-85	IKBKB	O14920	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O14936:12-276|KLIFS:139:positions1-85	CASK	O14936	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O14965:133-383|KLIFS:259:positions1-85	AURKA	O14965	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:O14976:40-314|KLIFS:279:positions1-85	GAK	O14976	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O15075:390-647|KLIFS:145:positions1-85	DCLK1	O15075	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O15111:15-302|KLIFS:269:positions1-85	CHUK	O15111	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O15197:670-919|KLIFS:421:positions1-85	EPHB6	O15197	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O15264:25-308|KLIFS:251:positions1-85	MAPK13	O15264	PASS	4YNO	8c1622b81f065546afa61abdcf605078888d13282bb01dbf87a4b548e281fd5b	PASS	4YNO	8c1622b81f065546afa61abdcf605078888d13282bb01dbf87a4b548e281fd5b	true		1.0	25	false
UniProt:O15530:82-342|KLIFS:27:positions1-85	PDPK1	O15530	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:O43283:168-409|KLIFS:499:positions1-85	MAP3K13	O43283	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O43293:13-275|KLIFS:141:positions1-85	DAPK3	O43293	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O43318:36-291|KLIFS:504:positions1-85	MAP3K7	O43318	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O43353:18-294|KLIFS:512:positions1-85	RIPK2	O43353	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O60285:55-306|KLIFS:130:positions1-85	NUAK1	O60285	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O60674:849-1124|KLIFS:436:positions1-85	JAK2	O60674	PASS	29RY	202cecfe69382bb06b8eb625a1d50f2276fc8bb96475e82c734d49ee4f2ce17a	PASS	29RY	202cecfe69382bb06b8eb625a1d50f2276fc8bb96475e82c734d49ee4f2ce17a	true		0.9764705882352941	25	false
UniProt:O75116:92-354|KLIFS:10:positions1-85	ROCK2	O75116	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O75385:16-278|KLIFS:328:positions1-85	ULK1	O75385	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O75460:571-832|KLIFS:273:positions1-85	ERN1	O75460	PASS	6W3B	2a8746eb5dddf86cd5ed828c0c98c80a3291fd66adca8de44ab06edeeb7cc8e2	PASS	6W3B	2a8746eb5dddf86cd5ed828c0c98c80a3291fd66adca8de44ab06edeeb7cc8e2	true		1.0	25	false
UniProt:O75582:49-318|KLIFS:49:positions1-85	RPS6KA5	O75582	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O75676:33-301|KLIFS:47:positions1-85	RPS6KA4	O75676	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O75716:20-293|KLIFS:280:positions1-85	STK16	O75716	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O75914:283-534|KLIFS:369:positions1-85	PAK3	O75914	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O76039:13-297|KLIFS:216:positions1-85	CDKL5	O76039	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O94768:33-293|KLIFS:143:positions1-85	STK17B	O94768	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O94804:36-294|KLIFS:373:positions1-85	STK10	O94804	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O95382:648-906|KLIFS:346:positions1-85	MAP3K6	O95382	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O95747:17-291|KLIFS:353:positions1-85	OXSR1	O95747	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O95819:25-289|KLIFS:359:positions1-85	MAP4K4	O95819	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O95835:705-1010|KLIFS:23:positions1-85	LATS1	O95835	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:O96013:321-572|KLIFS:370:positions1-85	PAK4	O96013	PASS	4FIH	0a45446d1f39c3e94d975a2ff45350d5657b3773d068f29957a32260d07f4a1e	PASS	4FIH	0a45446d1f39c3e94d975a2ff45350d5657b3773d068f29957a32260d07f4a1e	true		1.0	25	false
UniProt:O96017:220-486|KLIFS:168:positions1-85	CHEK2	O96017	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:P00533:712-979|KLIFS:406:positions1-85	EGFR	P00533	PASS	1M14	d81fbeac32d1ccaec05c1ab7b40a04c49f5ebc7a435fb7455ed14fd9ec07b36c	PASS	1M14	d81fbeac32d1ccaec05c1ab7b40a04c49f5ebc7a435fb7455ed14fd9ec07b36c	true		1.0	25	false
UniProt:P04049:349-609|KLIFS:510:positions1-85	RAF1	P04049	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:P04626:720-987|KLIFS:407:positions1-85	ERBB2	P04626	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P04629:510-781|KLIFS:480:positions1-85	NTRK1	P04629	PASS	6D22	9b00a133dba52d61c90327c96ff7af550bbc1e11d8ab403afd02652a23d2761d	PASS	6D22	9b00a133dba52d61c90327c96ff7af550bbc1e11d8ab403afd02652a23d2761d	true		1.0	25	false
UniProt:P06213:1023-1298|KLIFS:433:positions1-85	INSR	P06213	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
UniProt:P06239:245-498|KLIFS:466:positions1-85	LCK	P06239	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:P06241:271-524|KLIFS:461:positions1-85	FYN	P06241	NO_QUALIFIED_VIEW			SEARCH_TRUNCATED			false			25	true
UniProt:P07332:561-822|KLIFS:427:positions1-85	FES	P07332	NO_QUALIFIED_VIEW			NO_QUALIFIED_VIEW			false			25	false
