series_id	pdb_id	target_names	publication_id	ligand_count	nonempty_murcko_scaffold_count	pKd_range	protein_entity_id	protein_asym_ids	alignment_identity	alignment_entity_coverage	aligned_residues	druglike_ligand_entities	assay_ligand_entity_matches	resolution_angstrom	experimental_methods	within_series_metadata_rank
G3S-014e4407ee50fa22	8CK4	Endothelial PAS domain-containing protein 1	doi:10.1021/acs.jmedchem.3c00332	37	8	4.56507643	1	A	0.991071429	0.949152542	112	1	1	2.29	X-RAY DIFFRACTION	1
G3S-014e4407ee50fa22	8CK8	Endothelial PAS domain-containing protein 1	doi:10.1021/acs.jmedchem.3c00332	37	8	4.56507643	1	A	0.991071429	0.949152542	112	1	1	2.302	X-RAY DIFFRACTION	2
G3S-03ecbf7361b64421	5X74	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta	doi:10.1021/acs.jmedchem.7b01243	10	10	2.01360318	1	A	0.993333333	1	150	1	0	2.25	X-RAY DIFFRACTION	1
G3S-05e5316778a15c3d	5BVW	Epithelial discoidin domain-containing receptor 1	doi:10.1038/nbt.1990	44	44	4.5563025	1	A	1	0.984567901	319	1	1	1.94	X-RAY DIFFRACTION	1
G3S-05e5316778a15c3d	6BSD	Epithelial discoidin domain-containing receptor 1	doi:10.1038/nbt.1990	44	44	4.5563025	1	A	1	1	351	1	1	2.606	X-RAY DIFFRACTION	2
G3S-06eb960dd9e53349	4U43	Mitogen-activated protein kinase kinase kinase kinase 4	doi:10.1016/j.bmcl.2014.07.071	8	6	1.90121398	1	A;B	1	0.984939759	327	1	1	2.18	X-RAY DIFFRACTION	1
G3S-0adfbd2895adde2d	1R5L	Alpha-tocopherol transfer protein	doi:10.1016/j.bmc.2009.10.046	9	3	2.66118144	1	A	1	0.984732824	258	1	0	1.5	X-RAY DIFFRACTION	1
G3S-0adfbd2895adde2d	1OIP	Alpha-tocopherol transfer protein	doi:10.1016/j.bmc.2009.10.046	9	3	2.66118144	1	A	1	1	278	1	0	1.95	X-RAY DIFFRACTION	2
G3S-0b24543ec45bef8f	4N9B	Nicotinamide phosphoribosyltransferase	doi:10.1016/j.bmcl.2013.12.062	16	13	1.96614173	1	A;B	1	0.98003992	491	1	1	2.859	X-RAY DIFFRACTION	1
G3S-0bab6c6bc8b2a701	4U7Z	Dual specificity mitogen-activated protein kinase kinase 1	doi:10.1038/nbt.1990	28	28	3.16350213	1	A	1	0.973607038	332	2	1	2.805	X-RAY DIFFRACTION	1
G3S-0bab6c6bc8b2a701	7M0T	Dual specificity mitogen-activated protein kinase kinase 1	doi:10.1038/nbt.1990	28	28	3.16350213	1	A	0.994910941	0.989924433	393	2	1	3.19	X-RAY DIFFRACTION	2
G3S-0c2b41bb223d8483	6D55	Son of sevenless homolog 1	doi:10.1021/acs.jmedchem.8b01108	32	17	2.06694679	2	B	1	0.997925311	481	3	1	1.68	X-RAY DIFFRACTION	1
