construct_group_1	construct_group_2	edge_type	evidence_count	evidence_views	evidence_regions	evidence_modes	maximum_tm_score	best_rmsd_angstrom	best_aligned_length	best_aligned_fraction_of_shorter
construct-001-c5158f5b655d	construct-092-49214f6eb0db	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	0.9709	1.14	360	0.994475138121547
construct-002-cb5cf2af5e4a	construct-003-fbf3f5c695a3	validated_structural_similarity	3	S1;S2	global;pocket	fully_nonsequential;sequential	0.8016	1.87	104	0.9285714285714286
construct-002-cb5cf2af5e4a	construct-012-90b947063061	validated_structural_similarity	3	S1;S2	global;pocket	fully_nonsequential;sequential	0.8187	2.22	112	1.0
construct-002-cb5cf2af5e4a	construct-016-fad0d613c720	validated_structural_similarity	1	S1	global	sequential	0.8612	1.68	110	0.9821428571428571
construct-002-cb5cf2af5e4a	construct-027-baf0440a45db	validated_structural_similarity	3	S1;S2	global;pocket	fully_nonsequential;sequential	0.8464	1.68	107	0.9553571428571429
construct-002-cb5cf2af5e4a	construct-029-13705e998f4e	validated_structural_similarity	5	S1;S2	global;pocket	fully_nonsequential;sequential	0.8673	1.69	103	1.0
construct-002-cb5cf2af5e4a	construct-039-90fec4b83698	validated_structural_similarity	3	S1	global;pocket	fully_nonsequential;sequential	0.8661	1.93	110	0.9821428571428571
construct-002-cb5cf2af5e4a	construct-082-250a0b13b064	validated_structural_similarity	1	S1	global	sequential	0.8761	1.75	111	0.9910714285714286
construct-002-cb5cf2af5e4a	construct-126-cecc6141575d	validated_structural_similarity	3	S1;S2	global;pocket	fully_nonsequential;sequential	0.8809	1.78	109	1.0
construct-002-cb5cf2af5e4a	construct-133-eab72abc872f	validated_structural_similarity	5	S1;S2	global;pocket	fully_nonsequential;sequential	0.8353	1.84	106	0.9724770642201835
construct-003-fbf3f5c695a3	construct-012-90b947063061	validated_structural_similarity	1	S1	global	sequential	0.7252	2.11	106	0.8548387096774194
construct-003-fbf3f5c695a3	construct-016-fad0d613c720	validated_structural_similarity	1	S1	global	sequential	0.8478	1.48	108	0.907563025210084
construct-003-fbf3f5c695a3	construct-027-baf0440a45db	validated_structural_similarity	1	S1	global	sequential	0.8258	1.42	104	0.896551724137931
construct-003-fbf3f5c695a3	construct-029-13705e998f4e	validated_structural_similarity	3	S1;S2	global;pocket	fully_nonsequential;sequential	0.9326	1.12	103	1.0
construct-003-fbf3f5c695a3	construct-039-90fec4b83698	validated_structural_similarity	1	S1	global	sequential	0.7868	1.86	103	0.911504424778761
construct-003-fbf3f5c695a3	construct-082-250a0b13b064	validated_structural_similarity	1	S1	global	sequential	0.7971	1.62	106	0.8688524590163934
construct-003-fbf3f5c695a3	construct-126-cecc6141575d	validated_structural_similarity	1	S1	global	sequential	0.8722	1.57	105	0.963302752293578
construct-003-fbf3f5c695a3	construct-133-eab72abc872f	validated_structural_similarity	5	S1;S2	global;pocket	fully_nonsequential;sequential	0.95	0.87	107	0.981651376146789
construct-005-6f4aa0a92e90	construct-022-46b8fca0fc9d	validated_structural_similarity	2	S1;S2	global	sequential	0.8093	3.66	384	0.9696969696969697
construct-006-4c5802bc11cc	construct-100-68fa759a793c	validated_structural_similarity	2	S1;S2	global	sequential	0.8797	2.19	292	0.9605263157894737
construct-006-4c5802bc11cc	construct-114-95cbcb4a8b50	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	334	1.0
construct-006-4c5802bc11cc	construct-123-b8ea4f953170	validated_structural_similarity	1	S2	global	sequential	0.7198	3.41	290	0.8682634730538922
construct-007-c863deb44383	construct-013-989a0da4f5c7	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	147	1.0
construct-007-c863deb44383	construct-019-1be38543a2db	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	147	1.0
construct-007-c863deb44383	construct-051-31c871f0f628	validated_structural_similarity	1	S1	global	sequential	0.5189	3.48	86	0.7478260869565218
construct-008-60863bf56b3f	construct-028-c2d68d73bda9	validated_structural_similarity	2	S1;S2	pocket	fully_nonsequential	0.6772	2.42	8	1.0
construct-008-60863bf56b3f	construct-113-94bddcf5ae1b	validated_structural_similarity	1	S2	global	sequential	0.5014	4.28	98	0.8521739130434782
construct-012-90b947063061	construct-016-fad0d613c720	validated_structural_similarity	1	S1	global	sequential	0.776	2.11	111	0.9327731092436975
construct-012-90b947063061	construct-026-997c3e281e6e	validated_structural_similarity	1	S1	global	sequential	0.5019	4.33	107	0.823076923076923
construct-012-90b947063061	construct-027-baf0440a45db	validated_structural_similarity	3	S1;S2	global;pocket	fully_nonsequential;sequential	0.8022	1.98	107	0.9224137931034483
construct-012-90b947063061	construct-029-13705e998f4e	validated_structural_similarity	1	S1	global	sequential	0.8347	1.91	103	1.0
construct-012-90b947063061	construct-039-90fec4b83698	validated_structural_similarity	1	S1	global	sequential	0.7967	2.51	109	0.9646017699115044
construct-012-90b947063061	construct-082-250a0b13b064	validated_structural_similarity	1	S1	global	sequential	0.7878	2.16	111	0.9098360655737705
construct-012-90b947063061	construct-126-cecc6141575d	validated_structural_similarity	3	S1	global;pocket	fully_nonsequential;sequential	0.8903	1.55	109	1.0
construct-012-90b947063061	construct-133-eab72abc872f	validated_structural_similarity	1	S1	global	sequential	0.824	1.84	106	0.9724770642201835
construct-013-989a0da4f5c7	construct-019-1be38543a2db	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	147	1.0
construct-013-989a0da4f5c7	construct-051-31c871f0f628	validated_structural_similarity	1	S1	global	sequential	0.5148	3.46	86	0.7478260869565218
construct-014-d42e073edd05	construct-033-4212e6c5e472	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	0.9386	1.22	218	0.9775784753363229
construct-015-e6a24c903c1e	construct-062-9efbec4633b7	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	260	1.0
construct-015-e6a24c903c1e	construct-089-457c7d99d0a8	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	0.9794	0.85	259	0.9961538461538462
construct-016-fad0d613c720	construct-027-baf0440a45db	validated_structural_similarity	1	S1	global	sequential	0.847	1.97	111	0.9568965517241379
construct-016-fad0d613c720	construct-029-13705e998f4e	validated_structural_similarity	3	S1;S2	global;pocket	fully_nonsequential;sequential	0.9134	1.35	103	1.0
