series_id_1	series_id_2	relations	full_sequence_identity	local_site_identity	maximum_cross_ligand_tanimoto
G3S-0ea60d28ec9de0d1	G3S-133873650167b89b	exact_nonempty_scaffold	0.152148664	0.125	0.227272727
G3S-0ea60d28ec9de0d1	G3S-197e79eddc015708	exact_nonempty_scaffold	0.174757282	0.0416666667	0.216666667
G3S-0ea60d28ec9de0d1	G3S-202ee41d5bfc94ab	exact_nonempty_scaffold	0.174757282	0.269230769	0.255319149
G3S-0ea60d28ec9de0d1	G3S-51759ead81a2003d	exact_nonempty_scaffold	0.200757576	0.115384615	0.192307692
G3S-0ea60d28ec9de0d1	G3S-57758481291b0ab8	exact_nonempty_scaffold	0.167938931	0.125	0.292682927
G3S-0ea60d28ec9de0d1	G3S-6fbd681c38d3a2a2	exact_nonempty_scaffold	0.200803213	0.208333333	0.166666667
G3S-0ea60d28ec9de0d1	G3S-72740991b3279a1e	exact_nonempty_scaffold	0.0613919895	0.0833333333	0.210526316
G3S-0ea60d28ec9de0d1	G3S-9236ab9d73532a9d	exact_nonempty_scaffold	0.152148664	0.0833333333	0.24137931
G3S-0ea60d28ec9de0d1	G3S-a0b462ec59730874	exact_nonempty_scaffold	0.182156134	0.185185185	0.228571429
G3S-0ea60d28ec9de0d1	G3S-b47e17893c82aca6	exact_nonempty_scaffold	0.225589226	0.125	0.24
G3S-0ea60d28ec9de0d1	G3S-b4e4bb5af0b8b2c1	exact_nonempty_scaffold	0.238505747	0.108108108	0.291666667
G3S-0ea60d28ec9de0d1	G3S-c3ad4039ad41a0e6	exact_nonempty_scaffold	0.199488491	0.0666666667	0.204081633
G3S-0ea60d28ec9de0d1	G3S-e7f816aed727534b	exact_nonempty_scaffold;exact_target_sequence;full_sequence_identity;ligand_tanimoto;local_site_identity	1	0.791666667	1
G3S-0ea60d28ec9de0d1	G3S-eb73c8235716ab91	exact_nonempty_scaffold;full_sequence_identity;ligand_tanimoto;local_site_identity;shared_measurement_publication	0.599236641	0.6	1
G3S-0ea60d28ec9de0d1	G3S-eea0596469e3b875	exact_nonempty_scaffold;full_sequence_identity;ligand_tanimoto;local_site_identity	0.599236641	0.6	0.743589744
G3S-133873650167b89b	G3S-197e79eddc015708	exact_nonempty_scaffold	0.215507412	0.208333333	0.342105263
G3S-133873650167b89b	G3S-202ee41d5bfc94ab	exact_nonempty_scaffold	0.215507412	0.181818182	0.295081967
G3S-133873650167b89b	G3S-51759ead81a2003d	exact_nonempty_scaffold	0.106060606	0.0588235294	0.263888889
G3S-133873650167b89b	G3S-57758481291b0ab8	exact_nonempty_scaffold	0.0897435897	0.117647059	0.267605634
G3S-133873650167b89b	G3S-6fbd681c38d3a2a2	exact_nonempty_scaffold	0.208285386	0.105263158	0.24137931
G3S-133873650167b89b	G3S-72740991b3279a1e	exact_nonempty_scaffold	0.140327869	0.176470588	0.27173913
G3S-133873650167b89b	G3S-8afbd56096fe1b47	ligand_tanimoto	0.198424069	0.173913043	0.4
G3S-133873650167b89b	G3S-9236ab9d73532a9d	exact_nonempty_scaffold;exact_target_sequence;full_sequence_identity;ligand_tanimoto;local_site_identity	1	0.529411765	1
G3S-133873650167b89b	G3S-a0b462ec59730874	exact_nonempty_scaffold	0.219101124	0.111111111	0.245614035
G3S-133873650167b89b	G3S-b47e17893c82aca6	exact_nonempty_scaffold;ligand_tanimoto	0.160839161	0.2	0.558823529
G3S-133873650167b89b	G3S-b4e4bb5af0b8b2c1	exact_nonempty_scaffold	0.170533643	0.108108108	0.275862069
G3S-133873650167b89b	G3S-c3ad4039ad41a0e6	exact_nonempty_scaffold	0.197916667	0.2	0.232876712
G3S-133873650167b89b	G3S-eb73c8235716ab91	exact_nonempty_scaffold	0.148837209	0.12	0.227272727
G3S-197e79eddc015708	G3S-202ee41d5bfc94ab	exact_nonempty_scaffold;exact_target_sequence;full_sequence_identity	1	0.185185185	0.236111111
G3S-197e79eddc015708	G3S-237de531113c65a9	exact_target_sequence;full_sequence_identity	1	0.4375	0.155172414
G3S-197e79eddc015708	G3S-51759ead81a2003d	exact_nonempty_scaffold	0.118226601	0.166666667	0.206349206
G3S-197e79eddc015708	G3S-57758481291b0ab8	exact_nonempty_scaffold	0.0903119869	0.125	0.239130435
G3S-197e79eddc015708	G3S-6fbd681c38d3a2a2	exact_nonempty_scaffold	0.21835443	0.208333333	0.203389831
G3S-197e79eddc015708	G3S-72740991b3279a1e	exact_nonempty_scaffold	0.109436435	0.166666667	0.183333333
G3S-197e79eddc015708	G3S-9236ab9d73532a9d	exact_nonempty_scaffold;ligand_tanimoto	0.215507412	0.166666667	0.514285714
G3S-197e79eddc015708	G3S-a0b462ec59730874	exact_nonempty_scaffold	0.229102167	0.148148148	0.213114754
G3S-197e79eddc015708	G3S-b47e17893c82aca6	exact_nonempty_scaffold	0.169381107	0.0833333333	0.294117647
G3S-197e79eddc015708	G3S-b4e4bb5af0b8b2c1	exact_nonempty_scaffold;ligand_tanimoto	0.1898527	0.135135135	0.428571429
G3S-197e79eddc015708	G3S-c3ad4039ad41a0e6	exact_nonempty_scaffold	0.197712418	0.225806452	0.293333333
G3S-197e79eddc015708	G3S-eb73c8235716ab91	exact_nonempty_scaffold	0.174836601	0.125	0.216666667
G3S-202cfb8f48e8667e	G3S-b47e17893c82aca6	ligand_tanimoto	0.117029257	0.05	0.362068966
G3S-202ee41d5bfc94ab	G3S-237de531113c65a9	exact_target_sequence;full_sequence_identity	1	0.193548387	0.141304348
G3S-202ee41d5bfc94ab	G3S-51759ead81a2003d	exact_nonempty_scaffold;ligand_tanimoto	0.118226601	0.272727273	1
G3S-202ee41d5bfc94ab	G3S-57758481291b0ab8	exact_nonempty_scaffold	0.0903119869	0.130434783	0.24137931
G3S-202ee41d5bfc94ab	G3S-6fbd681c38d3a2a2	exact_nonempty_scaffold	0.21835443	0.227272727	0.231884058
G3S-202ee41d5bfc94ab	G3S-72740991b3279a1e	exact_nonempty_scaffold	0.109436435	0.153846154	0.226666667
G3S-202ee41d5bfc94ab	G3S-9236ab9d73532a9d	exact_nonempty_scaffold	0.215507412	0.181818182	0.274509804
G3S-202ee41d5bfc94ab	G3S-a0b462ec59730874	exact_nonempty_scaffold;ligand_tanimoto	0.229102167	0.227272727	0.421052632
G3S-202ee41d5bfc94ab	G3S-b47e17893c82aca6	exact_nonempty_scaffold	0.169381107	0.136363636	0.230769231
G3S-202ee41d5bfc94ab	G3S-b4e4bb5af0b8b2c1	exact_nonempty_scaffold	0.1898527	0.162162162	0.315789474
G3S-202ee41d5bfc94ab	G3S-c3ad4039ad41a0e6	exact_nonempty_scaffold;ligand_tanimoto	0.197712418	0.2	0.432432432
G3S-202ee41d5bfc94ab	G3S-eb73c8235716ab91	exact_nonempty_scaffold	0.174836601	0.269230769	0.255319149
G3S-202ee41d5bfc94ab	G3S-fb7593ab116f7278	exact_nonempty_scaffold	0.161764706	0.153846154	0.214285714
G3S-2a143dedddd90694	G3S-3aac8f4c8810a918	exact_nonempty_scaffold;full_sequence_identity;ligand_tanimoto;local_site_identity	0.388888889	0.52	0.723404255
G3S-2a143dedddd90694	G3S-be927832aa68b7af	exact_nonempty_scaffold;exact_target_sequence;full_sequence_identity;ligand_tanimoto;local_site_identity	1	0.956521739	0.723404255
G3S-2a143dedddd90694	G3S-e7f816aed727534b	ligand_tanimoto	0.204545455	0.0869565217	0.449275362
G3S-2b9565c8dc248e0b	G3S-57f29a986d5123ab	exact_target_sequence;full_sequence_identity;ligand_tanimoto;local_site_identity	1	0.952380952	0.492957746
G3S-2b9565c8dc248e0b	G3S-de0a2a7c1887af78	ligand_tanimoto	0.141680395	0.222222222	0.491525424
G3S-2dbb6ecb3aae7915	G3S-c2777118d038eb0b	exact_nonempty_scaffold;exact_target_sequence;full_sequence_identity;ligand_tanimoto;local_site_identity	1	0.833333333	0.368421053
G3S-31c5deaefd112d8c	G3S-a0eeacac2c679281	exact_nonempty_scaffold;ligand_tanimoto	0.176	0.0588235294	0.717948718
G3S-31c5deaefd112d8c	G3S-fffc85fa1583cd07	ligand_tanimoto	0.176	0.117647059	0.583333333
G3S-3a4ac119455247b0	G3S-a496fe9cc69b5d9f	exact_nonempty_scaffold;exact_target_sequence;full_sequence_identity;ligand_tanimoto;local_site_identity	1	0.833333333	1
G3S-3aac8f4c8810a918	G3S-7d63354277860a98	ligand_tanimoto	0.12431694	0.16	0.392156863
G3S-3aac8f4c8810a918	G3S-be927832aa68b7af	exact_nonempty_scaffold;full_sequence_identity;ligand_tanimoto;local_site_identity;shared_measurement_publication;shared_reference_structure_publication	0.388888889	0.5	1
G3S-3aac8f4c8810a918	G3S-e7f816aed727534b	ligand_tanimoto	0.200757576	0.12	0.409836066
G3S-3aac8f4c8810a918	G3S-fb7593ab116f7278	ligand_tanimoto	0.219607843	0.178571429	0.363636364
G3S-43586287a9be2906	G3S-51759ead81a2003d	exact_nonempty_scaffold;ligand_tanimoto	0.180602007	0.19047619	0.361702128
G3S-449b0375368ffc0f	G3S-7d63354277860a98	exact_nonempty_scaffold	0.203504043	0.185185185	0.310344828
G3S-4c1b91d17d81423a	G3S-dd8aacb779840031	exact_nonempty_scaffold;ligand_tanimoto	0.266055046	0.257142857	0.830508475
G3S-51759ead81a2003d	G3S-57758481291b0ab8	exact_nonempty_scaffold	0.223684211	0.153846154	0.31372549
G3S-51759ead81a2003d	G3S-6fbd681c38d3a2a2	exact_nonempty_scaffold	0.162271805	0.210526316	0.231884058
G3S-51759ead81a2003d	G3S-72740991b3279a1e	exact_nonempty_scaffold	0.0384110309	0.1875	0.202380952
G3S-51759ead81a2003d	G3S-7ad16b5be174b17e	ligand_tanimoto	0.17037037	0.269230769	0.365384615
G3S-51759ead81a2003d	G3S-9236ab9d73532a9d	exact_nonempty_scaffold	0.106060606	0.0714285714	0.344827586
G3S-51759ead81a2003d	G3S-a0b462ec59730874	exact_nonempty_scaffold;ligand_tanimoto	0.144465291	0.266666667	0.421052632
G3S-51759ead81a2003d	G3S-b47e17893c82aca6	exact_nonempty_scaffold	0.205882353	0.0555555556	0.24
G3S-51759ead81a2003d	G3S-b4e4bb5af0b8b2c1	exact_nonempty_scaffold	0.183976261	0.0810810811	0.24
G3S-51759ead81a2003d	G3S-c3ad4039ad41a0e6	exact_nonempty_scaffold;ligand_tanimoto	0.150127226	0.1	0.432432432
G3S-51759ead81a2003d	G3S-eb73c8235716ab91	exact_nonempty_scaffold	0.214559387	0.333333333	0.192307692
G3S-51759ead81a2003d	G3S-fb7593ab116f7278	exact_nonempty_scaffold	0.20703125	0.153846154	0.264705882
G3S-57758481291b0ab8	G3S-6fbd681c38d3a2a2	exact_nonempty_scaffold	0.133874239	0.157894737	0.244444444
G3S-57758481291b0ab8	G3S-72740991b3279a1e	exact_nonempty_scaffold	0.0302035456	0.1875	0.213114754
G3S-57758481291b0ab8	G3S-7ad1fcb7cf793248	exact_nonempty_scaffold;exact_target_sequence;full_sequence_identity;ligand_tanimoto;local_site_identity	1	0.8	0.613636364
G3S-57758481291b0ab8	G3S-9236ab9d73532a9d	exact_nonempty_scaffold	0.0897435897	0.1875	0.258064516
G3S-57758481291b0ab8	G3S-a0b462ec59730874	exact_nonempty_scaffold	0.121722846	0.133333333	0.294117647
G3S-57758481291b0ab8	G3S-b47e17893c82aca6	exact_nonempty_scaffold	0.191729323	0.210526316	0.20754717
G3S-57758481291b0ab8	G3S-b4e4bb5af0b8b2c1	exact_nonempty_scaffold	0.180722892	0.135135135	0.277777778
G3S-57758481291b0ab8	G3S-c3ad4039ad41a0e6	exact_nonempty_scaffold	0.145780051	0.166666667	0.211538462
G3S-57758481291b0ab8	G3S-eb73c8235716ab91	exact_nonempty_scaffold	0.195488722	0.142857143	0.292682927
G3S-6fbd681c38d3a2a2	G3S-72740991b3279a1e	exact_nonempty_scaffold	0.0971766251	0.238095238	0.265822785
G3S-6fbd681c38d3a2a2	G3S-9236ab9d73532a9d	exact_nonempty_scaffold	0.208285386	0.105263158	0.257142857
G3S-6fbd681c38d3a2a2	G3S-a0b462ec59730874	exact_nonempty_scaffold	0.225473322	0.263157895	0.282051282
G3S-6fbd681c38d3a2a2	G3S-b47e17893c82aca6	exact_nonempty_scaffold	0.210953347	0.0526315789	0.244897959
G3S-6fbd681c38d3a2a2	G3S-b4e4bb5af0b8b2c1	exact_nonempty_scaffold	0.230314961	0.135135135	0.191176471
