series_id	target_sequence_sha256	target_sequence_length	publication_id	article_dois	pmids	publication_years	authors	target_names	uniprot_ids	normalized_pH	normalized_temperature_C	data_sources	ligand_count	nonempty_murcko_scaffold_count	pKd_min	pKd_max	pKd_range	pKd_IQR	pdb_complex_ids	pdb_target_ids	local_pdb_complex_ids	has_holo_reference_candidate
G3S-ff4e5bfc253b96ea	3e63d306265781bbc1e001372f1a6e7c77338903be925c3d5e83a4f8c29dcee5	402	doi:10.1021/jm7011485	10.1021/jm7011485	18330978	4/4/2008	Cherkasov, A; Ban, F; Santos-Filho, O; Thorsteinson, N; Fallahi, M; Hammond, GL	Sex hormone-binding globulin	P04278	<missing>	<missing>	ChEMBL	86	37	4.39999691	9.73992861	5.3399317	2.34920441	1AFS;1D2S;1DHT;1F5F;1I37;1I38;1I9J;1J96;1JTV;1KDK;1KDM;1NFQ;1Q13;1QKM;1SQN;1T5Z;1T63;1T65;1T73;1T74;1T76;1T79;1T7F;1T7M;1T7R;1T7T;1VPO;1X7J;1X7R;1X8J;1X8V;1XJ7;1YB1;2AM9;2AMA;2PIO;2PIP;2PIQ;2PIR;2PIT;2PIU;2PIV;2PIW;2PIX;2PKL;2Q7I;2Q7J;2Q7K;2Q7L;2QA8;2QPY;2W8Y;2YHD;2YLO;2YLP;2YLQ;2Z4J;3BUR;3DEY;3HM1;3KDM;3KGT;3KGU;3KLM;3L3X;3L3Z;3Q95;3UZZ;3ZQT;4FJ1;4HLW;4J6D;4K7A;4MGA;4NKZ;4OEA;4OED;4OEY;4OEZ;4OFR;4OFU;4X1F;4X1G;5AUZ;5AV4;5HS6;5JJM;5JKW;5KDA;5KP4;5L94;5OG9;6A7J;6DXZ;6G8G;6HGL;6LY4;6MDQ;6MNC;6MNE;6PYB;6ULB;7CL8;7NFB;7RAE;7RY4;7X3Z;7Y98;7ZTV;7ZTX;7ZTZ;7ZU1;7ZU2;8ABS;8FGY;8FGZ;8FH0;8FH1;8FH2;8FOA;8FW3;8QRD;8RNM;8RTW;8SSH;8X9S;9IV1;9IV2;9JS9;9KG5;9WQ0	1D2S;1F5F;1KDK;1KDM;1LHN;1LHO;1LHU;1LHV;1LHW	2AM9;2AMA	true
G3S-2b9565c8dc248e0b	90075634f6e58f794e31bf42343ef834835c81871f3ddca6fb99a05750b8c507	334	doi:10.1021/acs.jmedchem.9b01411	10.1021/acs.jmedchem.9b01411	31724864	12/26/2019	Macdonald, JD; Chacón Simon, S; Han, C; Wang, F; Shaw, JG; Howes, JE; Sai, J; Yuh, JP; Camper, D; Alicie, BM; Alvarado, J; Nikhar, S; Payne, W; Aho, ER; Bauer, JA; Zhao, B; Phan, J; Thomas, LR; Rossanese, OW; Tansey, WP; Waterson, AG; Stauffer, SR; Fesik, SW	WD repeat-containing protein 5	P61964	<missing>	<missing>	ChEMBL	71	9	4.14874165	7.537602	3.38886035	0.828243795	6U5M;6U5Y;6U6W;6U8B;6U8L;6U8O	10TC;2G99;2G9A;2GNQ;2H13;2H14;2H68;2H6K;2H6N;2H6Q;2XL2;2XL3;3EG6;3EMH;3MXX;3N0D;3N0E;3P4F;3PSL;3UVK;3UVL;3UVM;3UVN;3UVO;4A7J;4CY1;4CY2;4ERQ;4ERY;4ERZ;4ES0;4ESG;4EWR;4GM3;4GM8;4GM9;4GMB;4Y7R;5SXM;5VFC;6BYN;6D9X;6DAI;6DAK;6DAR;6DAS;6DY7;6DYA;6E1Y;6E1Z;6E22;6E23;6IAM;6KIU;6KIV;6KIW;6KIX;6KIZ;6OFZ;6OI0;6OI1;6OI2;6OI3;6PG3;6PG4;6PG5;6PG6;6PG7;6PG8;6PG9;6PGA;6PGB;6PGC;6PGD;6PGE;6PGF;6PWV;6PWW;6U5M;6U5Y;6U6W;6U80;6U8B;6U8L;6U8O;6UCS;6UHY;6UHZ;6UIF;6UIK;6UJ4;6UJH;6UJJ;6UJL;6UOZ;6W5I;6W5M;6W5N;6WJQ;7AXP;7AXQ;7AXS;7AXU;7AXX;7BCY;7BED;7CFP;7CFQ;7DNO;7JTO;7JTP;7MBM;7MBN;7U9Y;7UAS;7UD5;7WVK;8BB2;8BB3;8BB4;8BB5;8DU4;8E9F;8F1G;8F93;8G3C;8G3E;8HMX;8OKF;8Q1N;8X3R;8X3S;8YDD;9IY5;9KQS;9LWY;9UJR;9UJZ;9UK1;9UK3;9UK4;9UK7;9UOJ;9YL3;9YLE;9YLY;9YM8;9YMF	6U5M;6U5Y;6U6W;6U8B;6U8L;6U8O	true
G3S-471c43af0ba04cbb	3c818ee2c080f534eaf3cb422f25c94f2f49241f958d47673d7c8575ec18a73e	1362	doi:10.1016/j.bmcl.2018.08.039	10.1016/j.bmcl.2018.08.039	30268702	11/15/2018	Yang, SM; Urban, DJ; Yoshioka, M; Strovel, JW; Fletcher, S; Wang, AQ; Xu, X; Shah, P; Hu, X; Hall, MD; Jadhav, A; Maloney, DJ	Bromodomain-containing protein 4	O60885	<missing>	<missing>	ChEMBL	55	32	5.04095861	7.55284197	2.51188336	0.841331686	6E4A	2LSP;2MJV;2OUO;2YEM;5JWM;5T35;5U28;5UOO;5VZS;5W55;5WA5;6AJV;6AJW;6AJX;6AJY;6AJZ;6C7Q;6CD4;6DJC;6DNE;6IN1;6MNL;6SIS;6WW8;6X7D;7FH2;7JKZ;7RUH;7TV0;7ZNT;8BDT;8BDX;8G46;8RQ9;8YMB;8ZMQ		true
G3S-133873650167b89b	13f7554d9b19f2ba75cc851600252cf99ccd746317c5b94db51a8c830a534c45	858	pmid:34648286		34648286	10/28/2021	Mann, MK; Zepeda-Velázquez, CA; González-Álvarez, H; Dong, A; Kiyota, T; Aman, AM; Loppnau, P; Li, Y; Wilson, B; Arrowsmith, CH; Al-Awar, R; Harding, RJ; Schapira, M	Ubiquitin carboxyl-terminal hydrolase 5	P45974	<missing>	<missing>	ChEMBL	53	25	3.56863624	5.48857969	1.91994346	0.617299958	7MS5;7MS6;7MS7	2DAG;2G43;2G45;6DXH;6DXT;6NFT;6P9G;7MS5;7MS6;7MS7	7MS5;7MS6	true
G3S-4d879ee552388fdf	9d56c4584ba2780eb84e9f3ee9577bbafcf06b62d981efd8b3934833b45778bd	124	pmid:36793435		36793435	2/9/2023	Mamai, A; Chau, AM; Wilson, BJ; Watson, ID; Joseph, BB; Subramanian, PR; Morshed, MM; Morin, JA; Prakesch, MA; Lu, T; Connolly, P; Kuntz, DA; Pomroy, NC; Poda, G; Nguyen, K; Marcellus, R; Strathdee, G; Theriault, B; Subramaniam, R; Mohammed, M; Abibi, A; Chan, M; Winston, J; Kiyota, T; Undzys, E; Aman, A; Austin, N; Du Jardin, M; Packman, K; Phillippar, U; Attar, R; Edwards, J; O''Meara, J; Uehling, DE; Al-Awar, R; Privé, GG; Isaac, MB	B-cell lymphoma 6 protein [5-128]	P41182	<missing>	<missing>	Curated from the literature by BindingDB	51	16	3.32882716	9.30103	5.97220284	2.7324434	7LWE;7LZQ;7RUW	1R28;1R29;1R2B;3BIM;3E4U;3LBZ;4U2M;5H7G;5H7H;5MW2;5MW6;5MWD;5X4M;5X4N;5X4O;5X4P;5X4Q;5X9O;5X9P;6TOF;6TOG;6TOH;6TOI;6TOJ;6TOK;6TOL;6TOM;6TON;6TOO;6XMX;7BDE;7GUD;7GUE;7GUF;7GUG;7GUH;7GUI;7GUJ;7GUK;7GUL;7GUM;7GUN;7GUO;7GUP;7GUQ;7GUR;7GUS;7GUT;7GUU;7GUV;7GUW;7GUX;7GUY;7GUZ;7GV0;7GV1;7GV2;7GV3;7GV4;7GV5;7GV6;7GV7;7GV8;7GV9;7GVA;7GVB;7GVC;7GVD;7GVE;7GVF;7GVG;7GVH;7GVI;7GVJ;7GVK;7GVL;7GVM;7GVN;7GVO;7GVP;7GVQ;7GVR;7GVS;7GVT;7GVU;7GVV;7GVW;7GVX;7GVY;7GVZ;7GW0;7GW1;7GW2;7GW3;7GW4;7GW5;7GW6;7GW7;7GW8;7GW9;7GWA;7GWB;7GWC;7GWD;7GWE;7GWF;7GWG;7GWH;7GWI;7GWJ;7GWK;7GWL;7GWM;7GWN;7GWO;7GWP;7GWQ;7GWR;7GWS;7GWT;7GWU;7GWV;7GWW;7GWX;7GWY;7GWZ;7GX0;7GX1;7GX2;7GX3;7GX4;7GX5;7GX6;7GX7;7GX8;7GX9;7GXA;7GXB;7GXC;7GXD;7GXE;7GXF;7GXG;7GXH;7GXI;7GXJ;7GXK;7GXL;7GXM;7GXN;7GXO;7GXP;7GXQ;7GXR;7GXS;7GXT;7GXU;7GXV;7GXW;7GXX;7GXY;7GXZ;7GY0;7GY1;7GY2;7GY3;7LWE;7LWF;7LWG;7LZQ;7LZR;7LZS;7OKD;7OKE;7OKF;7OKG;7OKH;7OKI;7OKJ;7OKK;7OKL;7OKM;7Q7R;7Q7S;7Q7T;7Q7U;7Q7V;7QK0;7RUW;7RUX;7RUY;7RUZ;7RV0;7RV1;7RV2;7RV3;7RV4;7RV5;7RV6;7RV7;7RV8;7RV9;7T0S;7T0T;7T0U;7ZWN;7ZWO;7ZWP;7ZWQ;7ZWR;7ZWS;7ZWT;7ZWU;7ZWV;7ZWW;7ZWX;7ZWY;7ZWZ;8C78;9MZA;9Q03;9YA9		true
G3S-0e7a45fa2fa81e87	9283e9c3163756a2b09e7f5854a8c8a58ea5b7d62b2cf5e474269174e04d6d52	968	doi:10.1038/nbt.1990	10.1038/nbt.1990	22037378	11/9/2011	Davis, MI; Hunt, JP; Herrgard, S; Ciceri, P; Wodicka, LM; Pallares, G; Hocker, M; Treiber, DK; Zarrinkar, PP	Serine/threonine-protein kinase 10	O94804	<missing>	<missing>	ChEMBL	48	48	5.02227639	10.4317983	5.40952188	1.57004828	1M17;1M52;1UWH;1UWJ;2FVD;2GQG;2ITO;2ITY;2ITZ;2IVU;2XB7;2Y6O;2ZVA;3EFL;3FQS;3G5D;3GCS;3HEG;3K54;3LFA;3OCT;3OHT;3PIY;3QLG;3RGF;3SOA;3SXR;3UE4;3UG2;3WZE;4AG8;4AGC;4ASD;4C2V;4E93;4G5J;4HJO;4I22;4MXO;4MXX;4MXY;4MXZ;4NCT;4OGJ;4OTG;4PS5;4QMN;4QMS;4TWP;4WA9;4WKQ;4XEY;4XLI;5AJQ;5BVW;5H2U;5HI2;5I9X;5I9Y;5IA3;5JZN;5OWR;5VC3;5VCV;5VCY;5WNJ;5Y7Z;5Y80;6BSD;6DWN;6FDY;6FNM;6OP9;6VNE;7ERK;7N9G;8BPW;8R4Q;8S5W;8S9F;8XV9;8Z7U;8Z7Y;9D5E;9D5F;9D5H;9D5P;9OS6;9R25	2J7T;4AOT;4BC6;4EQU;4USD;4USE;5AJQ;5OWQ;5OWR;6HXF	2FVD;4PS5;7ERK	true
G3S-21263b4e05140653	da80bd451c7c6fe9df3c444e13584cd3c9ec01cc1e17dffc428fd223e6deb9d0	1235	doi:10.1038/nbt.1990	10.1038/nbt.1990	22037378	11/9/2011	Davis, MI; Hunt, JP; Herrgard, S; Ciceri, P; Wodicka, LM; Pallares, G; Hocker, M; Treiber, DK; Zarrinkar, PP	STE20-like serine/threonine-protein kinase	Q9H2G2	<missing>	<missing>	ChEMBL	48	48	5.22914799	10.6197888	5.39064077	1.32149679	1M17;1M52;1UWH;1UWJ;2FVD;2GQG;2ITO;2ITY;2ITZ;2IVU;2XB7;2Y6O;2ZVA;3EFL;3FQS;3G5D;3GCS;3HEG;3K54;3LFA;3OCT;3OHT;3PIY;3QLG;3RGF;3SOA;3SXR;3UE4;3UG2;3WZE;4AG8;4AGC;4ASD;4E93;4G5J;4HJO;4I22;4MXO;4MXX;4MXY;4MXZ;4NCT;4OGJ;4OTG;4PS5;4QMN;4QMS;4TWP;4WA9;4WKQ;4XEY;4XLI;5AJQ;5BVW;5H2U;5HI2;5I9X;5I9Y;5IA3;5JZN;5OWR;5VC3;5VCV;5VCY;5WNJ;5Y7Z;5Y80;6BSD;6DWN;6FDY;6FNM;6OP9;6VNE;7ERK;7N9G;8BPW;8R4Q;8S5W;8S9F;8XV9;8Z7U;8Z7Y;9D5E;9D5F;9D5H;9D5P;9OS6;9R25	8BEM	2FVD;4PS5;7ERK	true
G3S-3aac8f4c8810a918	8df4ec0a95daca9c8f94675042ac9374b8ae92276183c6c21c0a4785c688c8b7	158	doi:10.1021/acs.jmedchem.6b00002	10.1021/acs.jmedchem.6b00002	27094768	6/10/2016	Dennis, ML; Pitcher, NP; Lee, MD; DeBono, AJ; Wang, ZC; Harjani, JR; Rahmani, R; Cleary, B; Peat, TS; Baell, JB; Swarbrick, JD	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	X5EH84	<missing>	<missing>	ChEMBL	48	6	4.33724217	6.92081875	2.58357659	0.708204365	5ETO;5ETP;5ETT;5ETV;5U11		5ETO;5ETP;5ETT;5ETV	true
G3S-8015229973969f7f	8c2b6e1477ff21093d6bdee1a4482a36b1024aaebbd4e968c54262742cefd3e0	443	doi:10.1021/acs.jmedchem.9b00864	10.1021/acs.jmedchem.9b00864	31580666	11/14/2019	Fyfe, TJ; Kellam, B; Sykes, DA; Capuano, B; Scammells, PJ; Lane, JR; Charlton, SJ; Mistry, SN	D(2) dopamine receptor	A0A024R3C5;P14416	<missing>	<missing>	ChEMBL	48	17	6.54060751	10.2600007	3.71939318	1.18532562	6DJZ;6LUQ;6X10;6X7A	7JVR;8IRS;8TZQ;8U02;9BS9;9BSB		true
G3S-947675d2152936bc	01b6c32eee0d173b181b1bb3926e78b1014c3c8a350003ef462b97fcad650063	509	doi:10.1038/nbt.1990	10.1038/nbt.1990	22037378	11/9/2011	Davis, MI; Hunt, JP; Herrgard, S; Ciceri, P; Wodicka, LM; Pallares, G; Hocker, M; Treiber, DK; Zarrinkar, PP	Tyrosine-protein kinase Lck	P06239	<missing>	<missing>	ChEMBL	48	48	5.1426675	9.69897	4.5563025	1.39625143	1M17;1M52;1UWH;1UWJ;2GQG;2ITO;2ITY;2ITZ;2IVU;2XB7;2Y6O;2ZVA;3EFL;3FC1;3FQS;3G5D;3GCS;3HEG;3HP5;3K54;3LFA;3OCT;3OHT;3PIY;3QLG;3RGF;3SOA;3SXR;3UE4;3UG2;3WZE;3ZSI;4AG8;4AGC;4ASD;4C2V;4E93;4G5J;4HJO;4I22;4MXO;4MXX;4MXY;4MXZ;4NCT;4OGJ;4OTG;4PS5;4QMN;4QMS;4TWP;4WA9;4WKQ;4XEY;4XLI;5AJQ;5BVW;5H2U;5HI2;5I9X;5I9Y;5IA3;5JZN;5MQL;5OWR;5VC3;5VCV;5VCY;5WNJ;5Y7Z;5Y80;6BSD;6DWN;6FDY;6FNM;6OP9;6VNE;7ERK;7JU7;7N9G;7TVX;8BPW;8R4Q;8S5W;8S9F;8XV9;8Z7U;8Z7Y;9D5E;9D5F;9D5H;9D5P;9OS6;9R25	1LCK;1QPC;1QPE;1QPJ;1X27;2OF2;2OF4;2OFU;2OFV;2OG8;2PL0;2ZM1;2ZM4;2ZYB;3AC1;3AC2;3AC3;3AC4;3AC5;3AC8;3ACJ;3ACK;3AD4;3AD5;3AD6;3B2W;3BYM;3BYO;3BYS;3BYU;3KXZ;3LCK;4D8K;6PDJ	4PS5;7ERK	true
